timestamp_ms,datetime_utc,open,high,low,close,volume,turnover
1727740800000,2024-10-01T00:00:00Z,156.7547,156.7982,155.8061,155.9952,139.885,21817.5722639
1727741100000,2024-10-01T00:05:00Z,155.9952,156.7008,155.9952,156.2634,88.374,13826.5954636
1727741400000,2024-10-01T00:10:00Z,156.2634,156.5859,156.0068,156.1339,61.857,9676.025479
1727741700000,2024-10-01T00:15:00Z,156.1339,156.204,155.544,155.6544,12.333,1924.2349581
1727742000000,2024-10-01T00:20:00Z,155.6544,155.7616,155.1069,155.7616,28.523,4433.0229816
1727742300000,2024-10-01T00:25:00Z,155.7616,156.5696,155.7616,156.4153,51.486,8045.7971641
1727742600000,2024-10-01T00:30:00Z,156.4153,156.8803,156.4153,156.5663,38.244,5991.5028072
1727742900000,2024-10-01T00:35:00Z,156.5663,157.0155,156.5663,156.9414,7.513,1178.5675361
1727743200000,2024-10-01T00:40:00Z,156.9414,157.4737,156.9414,157.3119,24.954,3925.4092095
1727743500000,2024-10-01T00:45:00Z,157.3119,158.2624,157.3119,158.2454,102.663,16229.437492
1727743800000,2024-10-01T00:50:00Z,158.2454,158.6637,157.9628,158.0009,116.366,18439.7600856
1727744100000,2024-10-01T00:55:00Z,158.0009,158.3602,158.0009,158.2512,24.067,3807.3350257
1727744400000,2024-10-01T01:00:00Z,158.2512,158.9738,158.2199,158.89,87.787,13926.052101
1727744700000,2024-10-01T01:05:00Z,158.89,159.0763,158.5552,158.5606,55.962,8887.1016626
1727745000000,2024-10-01T01:10:00Z,158.5606,158.9244,158.4037,158.5414,264.526,41997.457545
1727745300000,2024-10-01T01:15:00Z,158.5414,158.6174,158.1353,158.1353,94.894,15033.3934932
1727745600000,2024-10-01T01:20:00Z,158.1353,158.4483,157.9608,157.9608,48.189,7620.7465429
1727745900000,2024-10-01T01:25:00Z,157.9608,158.1592,157.8248,158.1467,29.477,4656.6794524
1727746200000,2024-10-01T01:30:00Z,158.1467,158.358,158.1031,158.1031,17.784,2813.7325048
1727746500000,2024-10-01T01:35:00Z,158.1031,158.1031,157.678,157.7378,108.171,17066.6287401
1727746800000,2024-10-01T01:40:00Z,157.7378,157.9623,157.5877,157.9116,29.385,4636.101924
1727747100000,2024-10-01T01:45:00Z,157.9116,157.9881,157.6778,157.9881,14.617,2307.9951681
1727747400000,2024-10-01T01:50:00Z,157.9881,157.9881,157.4636,157.4636,15.758,2483.7822316
1727747700000,2024-10-01T01:55:00Z,157.4636,157.6912,157.4636,157.614,30.087,4742.6296215
1727748000000,2024-10-01T02:00:00Z,157.614,157.614,157.1759,157.1759,41.912,6600.0536959
1727748300000,2024-10-01T02:05:00Z,157.1759,157.1759,156.9541,157.1431,17.247,2709.4170468
1727748600000,2024-10-01T02:10:00Z,157.1431,157.1431,156.6547,156.691,26.857,4211.4412007
1727748900000,2024-10-01T02:15:00Z,156.691,157.1139,156.5696,157.0814,15.844,2487.1474849
1727749200000,2024-10-01T02:20:00Z,157.0814,157.2313,156.9993,157.2313,1.024,160.8230253
1727749500000,2024-10-01T02:25:00Z,157.2313,157.3753,157.2258,157.245,11.321,1780.4771854
1727749800000,2024-10-01T02:30:00Z,157.245,157.327,157.1996,157.2754,17.183,2702.3324234
1727750100000,2024-10-01T02:35:00Z,157.2754,157.3285,157.24,157.2638,5.528,869.6507947
1727750400000,2024-10-01T02:40:00Z,157.2638,157.552,157.2638,157.5203,19.299,3040.1525939
1727750700000,2024-10-01T02:45:00Z,157.5203,157.6202,157.2952,157.5046,23.327,3674.47915
1727751000000,2024-10-01T02:50:00Z,157.5046,157.5551,157.2951,157.5551,4.507,709.2601259
1727751300000,2024-10-01T02:55:00Z,157.5551,157.7621,157.5465,157.6132,15.107,2382.8124413
1727751600000,2024-10-01T03:00:00Z,157.6132,157.8726,157.6132,157.8726,4.919,776.0615595
1727751900000,2024-10-01T03:05:00Z,157.8726,158.2328,157.8604,158.1508,43.276,6843.5037621
1727752200000,2024-10-01T03:10:00Z,158.1508,158.4397,158.1508,158.4397,4.03,638.1951455
1727752500000,2024-10-01T03:15:00Z,158.4397,158.6083,158.3164,158.3983,9.609,1522.8375887
1727752800000,2024-10-01T03:20:00Z,158.3983,158.7448,158.3264,158.5714,35.377,5609.986966
1727753100000,2024-10-01T03:25:00Z,158.5714,158.5714,158.2021,158.3324,25.03,3961.9363693
1727753400000,2024-10-01T03:30:00Z,158.3324,158.6951,158.3324,158.643,23.081,3659.7178151
1727753700000,2024-10-01T03:35:00Z,158.643,158.9411,158.6151,158.739,122.127,19387.2292056
1727754000000,2024-10-01T03:40:00Z,158.739,159.2709,158.739,159.2141,101.083,16078.8558743
1727754300000,2024-10-01T03:45:00Z,159.2141,159.5532,159.2141,159.3637,52.215,8322.7629486
1727754600000,2024-10-01T03:50:00Z,159.3637,159.4174,159.0933,159.1173,111.613,17762.0120785
1727754900000,2024-10-01T03:55:00Z,159.1173,159.3704,159.1173,159.2125,44.47,7084.2599934
1727755200000,2024-10-01T04:00:00Z,159.2125,159.357,159.0079,159.357,26.446,4211.6529378
1727755500000,2024-10-01T04:05:00Z,159.357,159.717,159.2352,159.2352,40.517,6464.7906262
1727755800000,2024-10-01T04:10:00Z,159.2352,159.2352,158.8634,158.8634,49.226,7833.8718374
1727756100000,2024-10-01T04:15:00Z,158.8634,159.2486,158.8634,159.2486,50.85,8086.122715
1727756400000,2024-10-01T04:20:00Z,159.2486,159.4583,159.2486,159.4107,10.547,1681.1987549
1727756700000,2024-10-01T04:25:00Z,159.4107,159.7193,159.4107,159.7193,43.051,6869.6843352
1727757000000,2024-10-01T04:30:00Z,159.7193,160.0507,159.6418,160.0507,244.551,39113.3494181
1727757300000,2024-10-01T04:35:00Z,160.0507,160.9406,160.0125,160.9392,278.717,44747.6867063
1727757600000,2024-10-01T04:40:00Z,160.9392,161.2925,160.6524,160.8944,165.874,26709.823095
1727757900000,2024-10-01T04:45:00Z,160.8944,160.9433,160.2237,160.4766,103.449,16596.8995461
1727758200000,2024-10-01T04:50:00Z,160.4766,160.4766,160.22,160.3723,36.902,5918.9564164
1727758500000,2024-10-01T04:55:00Z,160.3723,160.6717,159.8672,160.085,334.81,53655.763862
1727758800000,2024-10-01T05:00:00Z,160.085,160.7598,159.934,160.5679,167.691,26897.4732644
1727759100000,2024-10-01T05:05:00Z,160.5679,160.8051,160.1996,160.6824,101.118,16222.724485
1727759400000,2024-10-01T05:10:00Z,160.6824,160.7244,160.0093,160.0093,12.927,2071.9162415
1727759700000,2024-10-01T05:15:00Z,160.0093,160.5292,160.0093,160.4427,31.722,5088.1947782
1727760000000,2024-10-01T05:20:00Z,160.4427,160.8516,160.3846,160.6205,65.498,10523.3580993
1727760300000,2024-10-01T05:25:00Z,160.6205,160.6925,160.5028,160.5896,65.424,10507.787224
1727760600000,2024-10-01T05:30:00Z,160.5896,160.5896,160.417,160.5847,55.299,8873.2014606
1727760900000,2024-10-01T05:35:00Z,160.5847,161.3327,160.5847,161.3018,112.353,18110.3917786
1727761200000,2024-10-01T05:40:00Z,161.3018,161.3555,160.932,160.9487,49.94,8043.0823037
1727761500000,2024-10-01T05:45:00Z,160.9487,161.3586,160.9487,161.1369,16.066,2587.8489353
1727761800000,2024-10-01T05:50:00Z,161.1369,162.584,161.1369,161.4516,1155.683,186928.113213
1727762100000,2024-10-01T05:55:00Z,161.4516,161.745,161.4516,161.6515,124.26,20082.2230235
1727762400000,2024-10-01T06:00:00Z,161.6515,161.9857,161.6515,161.9479,106.694,17261.6029533
1727762700000,2024-10-01T06:05:00Z,161.9479,162.5,161.8507,162.4985,962.67,156355.5658321
1727763000000,2024-10-01T06:10:00Z,162.4985,162.6,162.1989,162.3286,201.458,32717.5078816
1727763300000,2024-10-01T06:15:00Z,162.3286,163.064,162.2655,162.9604,196.209,31913.1439398
1727763600000,2024-10-01T06:20:00Z,162.9604,163.2014,162.8176,163.179,174.745,28481.0464185
1727763900000,2024-10-01T06:25:00Z,163.179,163.3324,162.3739,162.4859,106.812,17406.4457955
1727764200000,2024-10-01T06:30:00Z,162.4859,163.3966,162.4859,163.082,200.274,32690.0043535
1727764500000,2024-10-01T06:35:00Z,163.082,163.4939,163.082,163.4589,293.738,47987.3960651
1727764800000,2024-10-01T06:40:00Z,163.4589,163.6672,162.9198,163.6407,326.217,53282.818021
1727765100000,2024-10-01T06:45:00Z,163.6407,164.261,163.6266,163.9768,431.944,70817.8444666
1727765400000,2024-10-01T06:50:00Z,163.9768,164.0974,163.8305,164.0515,85.424,14007.4880962
1727765700000,2024-10-01T06:55:00Z,164.0515,164.2719,163.8878,164.2719,361.745,59358.4116831
1727766000000,2024-10-01T07:00:00Z,164.2719,164.2719,163.4267,163.5085,295.068,48362.0918508
1727766300000,2024-10-01T07:05:00Z,163.5085,163.5157,162.7386,162.8525,146.297,23851.2249061
1727766600000,2024-10-01T07:10:00Z,162.8525,163.0048,162.6887,162.8429,99.909,16278.4154033
1727766900000,2024-10-01T07:15:00Z,162.8429,163.4147,162.8429,163.0228,417.297,68095.857968
1727767200000,2024-10-01T07:20:00Z,163.0228,163.081,162.7864,162.9999,49.217,8019.9814359
1727767500000,2024-10-01T07:25:00Z,162.9999,163.5403,162.9999,163.5403,140.887,23013.1619377
1727767800000,2024-10-01T07:30:00Z,163.5403,163.8321,163.4627,163.8227,245.212,40141.9255114
1727768100000,2024-10-01T07:35:00Z,163.8227,164.3514,163.8227,164.1709,222.133,36464.525432
1727768400000,2024-10-01T07:40:00Z,164.1709,164.2983,163.9618,164.171,207.395,34027.2561235
1727768700000,2024-10-01T07:45:00Z,164.171,164.2524,164,164.0678,65.005,10666.1458941
1727769000000,2024-10-01T07:50:00Z,164.0678,164.0678,163.7306,163.8752,141,23104.6876803
1727769300000,2024-10-01T07:55:00Z,163.8752,164.1934,163.8752,164.0752,21.927,3597.0362164
1727769600000,2024-10-01T08:00:00Z,164.0752,164.1161,163.5501,163.7301,374.37,61288.6271747
