timestamp_ms,datetime_utc,open,high,low,close,volume,turnover
1677628800000,2023-03-01T00:00:00Z,0.3517,0.3521,0.3516,0.3521,6413.14,2256.737143
1677629100000,2023-03-01T00:05:00Z,0.3521,0.3521,0.3508,0.3509,43400.42,15236.302813
1677629400000,2023-03-01T00:10:00Z,0.3509,0.3523,0.3509,0.3522,4580.4,1608.672738
1677629700000,2023-03-01T00:15:00Z,0.3522,0.3527,0.3522,0.3526,9476.04,3341.464759
1677630000000,2023-03-01T00:20:00Z,0.3526,0.3534,0.3526,0.3534,33739.48,11918.713425
1677630300000,2023-03-01T00:25:00Z,0.3534,0.3534,0.3527,0.3527,18720.35,6606.923023
1677630600000,2023-03-01T00:30:00Z,0.3527,0.3529,0.3526,0.3528,735.68,259.547627
1677630900000,2023-03-01T00:35:00Z,0.3528,0.3528,0.3524,0.3524,15683.06,5529.506212
1677631200000,2023-03-01T00:40:00Z,0.3524,0.3524,0.3514,0.3514,37436.98,13187.749451
1677631500000,2023-03-01T00:45:00Z,0.3514,0.3514,0.3501,0.3501,28644.48,10045.414276
1677631800000,2023-03-01T00:50:00Z,0.3501,0.3503,0.3494,0.3503,122701.31,42931.239951
1677632100000,2023-03-01T00:55:00Z,0.3503,0.3505,0.3496,0.3503,39458.36,13809.651989
1677632400000,2023-03-01T01:00:00Z,0.3503,0.351,0.3499,0.3505,38220.49,13393.406378
1677632700000,2023-03-01T01:05:00Z,0.3505,0.3511,0.3503,0.3509,38681.23,13572.014168
1677633000000,2023-03-01T01:10:00Z,0.3509,0.3517,0.3509,0.3517,31458.99,11051.322644
1677633300000,2023-03-01T01:15:00Z,0.3517,0.3517,0.3515,0.3517,9038.29,3178.151549
1677633600000,2023-03-01T01:20:00Z,0.3517,0.3518,0.3514,0.3517,22021.32,7745.496511
1677633900000,2023-03-01T01:25:00Z,0.3517,0.3519,0.3515,0.3517,15053.99,5294.236151
1677634200000,2023-03-01T01:30:00Z,0.3517,0.3539,0.3517,0.3539,57031.15,20104.461292
1677634500000,2023-03-01T01:35:00Z,0.3539,0.3539,0.3527,0.3531,34667.18,12244.995155
1677634800000,2023-03-01T01:40:00Z,0.3531,0.3533,0.3528,0.3533,12065.88,4260.337965
1677635100000,2023-03-01T01:45:00Z,0.3533,0.3535,0.3532,0.3534,6010.38,2124.0685
