timestamp_ms,datetime_utc,open,high,low,close,volume,turnover,mark_open,mark_high,mark_low,mark_close,index_open,index_high,index_low,index_close,premium_open,premium_high,premium_low,premium_close,basis,basis_pct
1740787200000,2025-03-01T00:00:00Z,0.4217,0.4223,0.4208,0.4208,313536.3,132226.05204,0.4216,0.4223,0.4208,0.4211,0.4216,0.4226,0.4211,0.4214,-0.00008212,-0.00029077,-0.00120049,-0.00029077,-0.0005999999999999894,-0.0014238253440910997
1740787500000,2025-03-01T00:05:00Z,0.4208,0.4213,0.4204,0.4204,67147,28246.49271,0.4211,0.4213,0.4204,0.4206,0.4214,0.4216,0.4204,0.4208,-0.00029077,0,-0.00028282,0,-0.00040000000000001146,-0.0009505703422053504
1740787800000,2025-03-01T00:10:00Z,0.4204,0.4231,0.4203,0.4229,68543.9,28942.64727,0.4206,0.4233,0.4203,0.4233,0.4208,0.4235,0.4204,0.4235,0,0,0,0,-0.0005999999999999894,-0.0014167650531286646
1740788100000,2025-03-01T00:15:00Z,0.4229,0.4234,0.4217,0.4221,82440.6,34823.63911,0.4233,0.4236,0.4216,0.4222,0.4235,0.4238,0.4216,0.4226,0,-0.00127588,-0.00145621,-0.00127588,-0.0005000000000000004,-0.0011831519167061061
1740788400000,2025-03-01T00:20:00Z,0.4221,0.4227,0.4217,0.422,49872.9,21056.66294,0.4222,0.4227,0.4217,0.4223,0.4226,0.423,0.4221,0.4226,-0.00127588,0.00007686,0,0.00007686,-0.0005999999999999894,-0.001419782300047301
1740788700000,2025-03-01T00:25:00Z,0.422,0.422,0.4207,0.4209,67601.9,28476.0699,0.4223,0.4223,0.4207,0.4209,0.4226,0.4226,0.4211,0.4211,0.00007686,-0.00080647,-0.00092158,-0.00092158,-0.00019999999999997797,-0.00047494656851099025
1740789000000,2025-03-01T00:30:00Z,0.4209,0.4212,0.4204,0.4204,57478.3,24179.65692,0.4209,0.4212,0.4204,0.4204,0.4211,0.4216,0.4204,0.4204,-0.00092158,-0.00043019,-0.00090037,-0.00043019,0.0,0.0
1740789300000,2025-03-01T00:35:00Z,0.4204,0.4212,0.4196,0.4196,98564.7,41394.52251,0.4204,0.4213,0.4195,0.4196,0.4204,0.4215,0.4195,0.4198,-0.00043019,-0.00030428,-0.00074931,-0.00030428,-0.00020000000000003348,-0.0004764173415913137
1740789600000,2025-03-01T00:40:00Z,0.4196,0.4196,0.4182,0.4192,106189.3,44496.20178,0.4196,0.4196,0.4182,0.4194,0.4198,0.4198,0.4183,0.4196,-0.00030428,0,-0.00028589,-0.00028589,-0.00039999999999995595,-0.0009532888465203907
1740789900000,2025-03-01T00:45:00Z,0.4192,0.4201,0.4191,0.4198,52762.1,22141.93066,0.4194,0.4204,0.4192,0.4198,0.4196,0.4206,0.4193,0.42,-0.00028589,-0.00006941,-0.00036734,-0.00006941,-0.00019999999999997797,-0.00047619047619042377
1740790200000,2025-03-01T00:50:00Z,0.4198,0.42,0.4183,0.4185,46455.4,19461.47671,0.4198,0.4202,0.4183,0.4185,0.42,0.4205,0.4185,0.4189,-0.00006941,-0.00076593,-0.00097358,-0.00076593,-0.00040000000000001146,-0.0009548818333731475
1740790500000,2025-03-01T00:55:00Z,0.4185,0.4189,0.4179,0.418,36280,15177.83752,0.4185,0.4191,0.4179,0.418,0.4189,0.4195,0.4181,0.4182,-0.00076593,-0.00113827,-0.00149065,-0.00149065,-0.00020000000000003348,-0.0004782400765184923
1740790800000,2025-03-01T01:00:00Z,0.418,0.4184,0.4173,0.418,124740.3,52094.61807,0.418,0.4185,0.4173,0.418,0.4182,0.4188,0.4174,0.4181,-0.00149065,-0.00001272,-0.00048826,-0.00048826,-0.0001000000000000445,-0.0002391772303277792
1740791100000,2025-03-01T01:05:00Z,0.418,0.4187,0.4178,0.4178,109115.4,45649.80873,0.418,0.4188,0.4179,0.4179,0.4181,0.419,0.4181,0.4182,-0.00048826,0,-0.00053248,0,-0.00040000000000001146,-0.0009564801530368519
1740791400000,2025-03-01T01:10:00Z,0.4178,0.4189,0.4178,0.4184,41708.1,17445.70984,0.4179,0.4191,0.4179,0.4184,0.4182,0.4194,0.4182,0.4185,0,-0.00007182,-0.00019286,-0.00007182,-9.999999999998899e-05,-0.00023894862604537394
1740791700000,2025-03-01T01:15:00Z,0.4184,0.4193,0.4184,0.4193,12896.8,5403.25119,0.4184,0.4194,0.4184,0.4194,0.4185,0.4197,0.4185,0.4197,-0.00007182,-0.00005721,-0.00027458,-0.00027458,-0.00040000000000001146,-0.0009530617107457981
1740792000000,2025-03-01T01:20:00Z,0.4193,0.4194,0.4184,0.419,11881,4974.28161,0.4194,0.4194,0.4184,0.4191,0.4197,0.4198,0.4185,0.4194,-0.00027458,0,-0.00064265,0,-0.00040000000000001146,-0.0009537434430138566
1740792300000,2025-03-01T01:25:00Z,0.419,0.419,0.4176,0.4181,26564.1,11099.79099,0.4191,0.4191,0.4176,0.4181,0.4194,0.4194,0.4176,0.4182,0,-0.0002498,-0.00126749,-0.0002498,-9.999999999998899e-05,-0.0002391200382591798
1740792600000,2025-03-01T01:30:00Z,0.4181,0.4188,0.4177,0.4188,38385.4,16041.71076,0.4181,0.419,0.4177,0.419,0.4182,0.4193,0.418,0.4193,-0.0002498,-0.00033871,-0.0010254,-0.00033871,-0.0005000000000000004,-0.0011924636298592903
1740792900000,2025-03-01T01:35:00Z,0.4188,0.4196,0.4186,0.4196,28333.3,11869.77924,0.419,0.4199,0.4186,0.4199,0.4193,0.4202,0.4186,0.4202,-0.00033871,-0.00003566,-0.00006605,-0.00006605,-0.0006000000000000449,-0.001427891480247608
1740793200000,2025-03-01T01:40:00Z,0.4196,0.4218,0.4195,0.4218,116661.2,49051.12384,0.4199,0.422,0.4196,0.4218,0.4202,0.4223,0.4198,0.422,-0.00006605,-0.00045192,-0.0009845,-0.0009845,-0.00019999999999997797,-0.00047393364928904734
1740793500000,2025-03-01T01:45:00Z,0.4218,0.4234,0.4213,0.4231,102103.9,43173.49889,0.4218,0.4234,0.4213,0.4234,0.422,0.4237,0.4214,0.4237,-0.0009845,-0.00059596,-0.00071876,-0.00059596,-0.0006000000000000449,-0.0014160962945481352
1740793800000,2025-03-01T01:50:00Z,0.4231,0.4246,0.423,0.4238,191312.8,81117.07587,0.4234,0.4246,0.423,0.4243,0.4237,0.4248,0.4232,0.4246,-0.00059596,0,-0.00055505,-0.00055505,-0.0007999999999999674,-0.001884126236457766
1740794100000,2025-03-01T01:55:00Z,0.4238,0.4263,0.4236,0.4254,193141.6,82138.94679,0.4243,0.4263,0.4237,0.4254,0.4246,0.4267,0.424,0.4258,-0.00055505,-0.00016595,-0.00131149,-0.00131149,-0.00040000000000001146,-0.0009394081728511307
1740794400000,2025-03-01T02:00:00Z,0.4254,0.4254,0.4228,0.423,232976,98851.41352,0.4254,0.4254,0.4229,0.423,0.4258,0.4258,0.4232,0.4232,-0.00131149,-0.00063519,-0.00080611,-0.00063519,-0.00020000000000003348,-0.0004725897920605706
1740794700000,2025-03-01T02:05:00Z,0.423,0.423,0.4221,0.423,52176.8,22050.42993,0.423,0.4231,0.4222,0.423,0.4232,0.4236,0.4224,0.4231,-0.00063519,0,-0.00038888,-0.00038888,-9.999999999998899e-05,-0.00023635074450481918
1740795000000,2025-03-01T02:10:00Z,0.423,0.4247,0.423,0.4245,74997.5,31814.91666,0.423,0.425,0.423,0.4246,0.4231,0.4253,0.4231,0.4249,-0.00038888,0,0,0,-0.00040000000000001146,-0.0009413979759943786
1740795300000,2025-03-01T02:15:00Z,0.4245,0.4251,0.4226,0.4231,57319.7,24264.57003,0.4246,0.4252,0.4226,0.4231,0.4249,0.4255,0.423,0.4232,0,-0.00042814,-0.00090991,-0.00042814,-0.0001000000000000445,-0.0002362948960303509
1740795600000,2025-03-01T02:20:00Z,0.4231,0.4241,0.4229,0.4232,43914.1,18592.8221,0.4231,0.4241,0.4229,0.4234,0.4232,0.4245,0.4232,0.4237,-0.00042814,0,-0.0004712,-0.0004712,-0.0005000000000000004,-0.001180080245456692
1740795900000,2025-03-01T02:25:00Z,0.4232,0.4246,0.4229,0.4239,278854.7,118217.31893,0.4234,0.4246,0.4229,0.4242,0.4237,0.4249,0.4231,0.4245,-0.0004712,-0.00002671,-0.00100268,-0.00002671,-0.0005999999999999894,-0.001413427561837431
1740796200000,2025-03-01T02:30:00Z,0.4239,0.4261,0.4233,0.4257,263634.5,112126.29082,0.4242,0.4262,0.4234,0.4257,0.4245,0.4266,0.4234,0.426,-0.00002671,-0.00025836,-0.00114568,-0.00025836,-0.00029999999999996696,-0.0007042253521125985
1740796500000,2025-03-01T02:35:00Z,0.4257,0.4257,0.4242,0.4243,119442.9,50761.10849,0.4257,0.4259,0.4242,0.4243,0.426,0.4264,0.4243,0.4244,-0.00025836,-0.00003141,-0.0001482,-0.00003141,-9.999999999998899e-05,-0.00023562676720072806
1740796800000,2025-03-01T02:40:00Z,0.4243,0.4243,0.4236,0.4239,66048.2,28000.96832,0.4243,0.4243,0.4236,0.4241,0.4244,0.4247,0.4239,0.4245,-0.00003141,-0.00084628,-0.00098413,-0.00084628,-0.0005999999999999894,-0.001413427561837431
1740797100000,2025-03-01T02:45:00Z,0.4239,0.424,0.4224,0.4225,111878.4,47357.59006,0.4241,0.4241,0.4224,0.4228,0.4245,0.4245,0.4225,0.4232,-0.00084628,-0.00077949,-0.00117675,-0.00077949,-0.0007000000000000339,-0.0016540642722118004
1740797400000,2025-03-01T02:50:00Z,0.4225,0.4234,0.4214,0.4225,407957.9,172405.84946,0.4228,0.4234,0.4215,0.4225,0.4232,0.4236,0.4219,0.4228,-0.00077949,-0.00002817,-0.00047006,-0.00047006,-0.00030000000000002247,-0.0007095553453169878
1740797700000,2025-03-01T02:55:00Z,0.4225,0.4226,0.4215,0.4226,86850.4,36647.23974,0.4225,0.4228,0.4215,0.4225,0.4228,0.4232,0.4217,0.4229,-0.00047006,0,-0.00062479,0,-0.00030000000000002247,-0.0007093875620714648
1740798000000,2025-03-01T03:00:00Z,0.4226,0.424,0.4226,0.424,39340.6,16645.55868,0.4225,0.4241,0.4225,0.4241,0.4229,0.4244,0.4225,0.4244,0,0,-0.00019614,0,-0.00040000000000001146,-0.000942507068803043
1740798300000,2025-03-01T03:05:00Z,0.424,0.424,0.4222,0.4229,86415.1,36552.02579,0.4241,0.4242,0.4222,0.4229,0.4244,0.4245,0.4224,0.423,0,-0.00000671,-0.00013175,-0.00013175,-9.999999999998899e-05,-0.00023640661938531676
1740798600000,2025-03-01T03:10:00Z,0.4229,0.4238,0.4227,0.4227,30267.4,12809.6597,0.4229,0.4241,0.4227,0.423,0.423,0.4244,0.423,0.4234,-0.00013175,-0.00062172,-0.00079617,-0.00079617,-0.0006999999999999784,-0.0016532829475672613
1740798900000,2025-03-01T03:15:00Z,0.4227,0.4231,0.4221,0.4225,19401.4,8198.04157,0.423,0.4231,0.4221,0.4225,0.4234,0.4236,0.4224,0.4225,-0.00079617,-0.0002947,-0.00085029,-0.00085029,0.0,0.0
1740799200000,2025-03-01T03:20:00Z,0.4225,0.423,0.4222,0.4223,27298.3,11530.18366,0.4225,0.4231,0.4222,0.4223,0.4225,0.4235,0.4224,0.4224,-0.00085029,-0.00010009,-0.00051414,-0.00010009,-9.999999999998899e-05,-0.00023674242424239817
