timestamp_ms,datetime_utc,open,high,low,close,volume,turnover
1690848000000,2023-08-01T00:00:00Z,1.169,1.169,1.168,1.168,2301.34,2689.25258
1690848300000,2023-08-01T00:05:00Z,1.168,1.168,1.166,1.166,2435.08,2839.91327
1690848600000,2023-08-01T00:10:00Z,1.166,1.167,1.166,1.166,3779.84,4410.79625
1690848900000,2023-08-01T00:15:00Z,1.166,1.167,1.166,1.167,258.91,302.13167
1690849200000,2023-08-01T00:20:00Z,1.167,1.17,1.167,1.169,3242.09,3792.58718
1690849500000,2023-08-01T00:25:00Z,1.169,1.17,1.169,1.169,300.93,352.01731
1690849800000,2023-08-01T00:30:00Z,1.169,1.171,1.169,1.17,281.12,328.81795
1690850100000,2023-08-01T00:35:00Z,1.17,1.171,1.17,1.171,1056.32,1236.9379
1690850400000,2023-08-01T00:40:00Z,1.171,1.173,1.171,1.173,163.7,191.86981
1690850700000,2023-08-01T00:45:00Z,1.173,1.174,1.173,1.174,19.05,22.35617
1690851000000,2023-08-01T00:50:00Z,1.174,1.174,1.172,1.172,1411.17,1655.59635
1690851300000,2023-08-01T00:55:00Z,1.172,1.174,1.172,1.174,735.51,863.48874
1690851600000,2023-08-01T01:00:00Z,1.174,1.175,1.173,1.175,4886.87,5738.01577
1690851900000,2023-08-01T01:05:00Z,1.175,1.176,1.175,1.175,583.96,686.1615
1690852200000,2023-08-01T01:10:00Z,1.175,1.175,1.175,1.175,181.11,212.80425
1690852500000,2023-08-01T01:15:00Z,1.175,1.175,1.173,1.173,1084.68,1272.58035
1690852800000,2023-08-01T01:20:00Z,1.173,1.173,1.171,1.171,382.48,448.02151
1690853100000,2023-08-01T01:25:00Z,1.171,1.171,1.169,1.17,272.19,318.36749
1690853400000,2023-08-01T01:30:00Z,1.17,1.17,1.167,1.167,438.41,511.93638
1690853700000,2023-08-01T01:35:00Z,1.167,1.17,1.167,1.17,70.99,82.97614
1690854000000,2023-08-01T01:40:00Z,1.17,1.17,1.166,1.167,3495.28,4078.74192
1690854300000,2023-08-01T01:45:00Z,1.167,1.167,1.166,1.167,358.78,418.69198
1690854600000,2023-08-01T01:50:00Z,1.167,1.167,1.159,1.16,20409.86,23693.84307
1690854900000,2023-08-01T01:55:00Z,1.16,1.161,1.158,1.159,1880.5,2179.64323
1690855200000,2023-08-01T02:00:00Z,1.159,1.16,1.155,1.157,22082.81,25529.29635
1690855500000,2023-08-01T02:05:00Z,1.157,1.157,1.144,1.144,100439.81,115435.78859
1690855800000,2023-08-01T02:10:00Z,1.144,1.145,1.131,1.143,218679.76,248752.41966
1690856100000,2023-08-01T02:15:00Z,1.143,1.149,1.142,1.149,12219.32,14013.1032
1690856400000,2023-08-01T02:20:00Z,1.149,1.149,1.145,1.145,6060.88,6957.88594
1690856700000,2023-08-01T02:25:00Z,1.145,1.148,1.145,1.148,10427.08,11952.51456
1690857000000,2023-08-01T02:30:00Z,1.148,1.149,1.147,1.148,19092.44,21930.6173
1690857300000,2023-08-01T02:35:00Z,1.148,1.148,1.147,1.148,1419.69,1629.77262
1690857600000,2023-08-01T02:40:00Z,1.148,1.151,1.147,1.149,4134.31,4753.39007
1690857900000,2023-08-01T02:45:00Z,1.149,1.15,1.149,1.15,189.71,217.9959
1690858200000,2023-08-01T02:50:00Z,1.15,1.15,1.146,1.146,4299.16,4933.71245
1690858500000,2023-08-01T02:55:00Z,1.146,1.148,1.146,1.148,351.8,403.63638
1690858800000,2023-08-01T03:00:00Z,1.148,1.148,1.146,1.148,1398.03,1604.56799
1690859100000,2023-08-01T03:05:00Z,1.148,1.148,1.147,1.147,3126.06,3585.72143
1690859400000,2023-08-01T03:10:00Z,1.147,1.147,1.146,1.147,1250.6,1434.42952
1690859700000,2023-08-01T03:15:00Z,1.147,1.147,1.143,1.144,6260.16,7163.95426
1690860000000,2023-08-01T03:20:00Z,1.144,1.144,1.14,1.14,29765.85,33951.15163
1690860300000,2023-08-01T03:25:00Z,1.14,1.141,1.139,1.14,7623.9,8688.86735
1690860600000,2023-08-01T03:30:00Z,1.14,1.143,1.14,1.14,5526.66,6311.11387
1690860900000,2023-08-01T03:35:00Z,1.14,1.14,1.137,1.138,6759.98,7695.27153
1690861200000,2023-08-01T03:40:00Z,1.138,1.14,1.136,1.138,20384.46,23165.82366
1690861500000,2023-08-01T03:45:00Z,1.138,1.138,1.136,1.137,4776.18,5429.53138
1690861800000,2023-08-01T03:50:00Z,1.137,1.14,1.137,1.139,2548.96,2901.41452
1690862100000,2023-08-01T03:55:00Z,1.139,1.14,1.137,1.137,3936.81,4479.76471
1690862400000,2023-08-01T04:00:00Z,1.137,1.139,1.136,1.139,1570.23,1785.29879
1690862700000,2023-08-01T04:05:00Z,1.139,1.139,1.138,1.138,17222.25,19612.48407
1690863000000,2023-08-01T04:10:00Z,1.138,1.138,1.137,1.137,828.73,942.35607
1690863300000,2023-08-01T04:15:00Z,1.137,1.14,1.137,1.139,1239.88,1412.37819
1690863600000,2023-08-01T04:20:00Z,1.139,1.14,1.137,1.137,2516.07,2865.87398
1690863900000,2023-08-01T04:25:00Z,1.137,1.139,1.136,1.138,688.44,783.56445
1690864200000,2023-08-01T04:30:00Z,1.138,1.14,1.138,1.14,1276.76,1454.30264
1690864500000,2023-08-01T04:35:00Z,1.14,1.142,1.139,1.142,1994.85,2273.32026
1690864800000,2023-08-01T04:40:00Z,1.142,1.142,1.14,1.141,1861.89,2124.6154
1690865100000,2023-08-01T04:45:00Z,1.141,1.141,1.139,1.14,3705.71,4223.69828
1690865400000,2023-08-01T04:50:00Z,1.14,1.14,1.137,1.137,7428.8,8461.95182
1690865700000,2023-08-01T04:55:00Z,1.137,1.138,1.137,1.138,460.72,523.854
1690866000000,2023-08-01T05:00:00Z,1.138,1.138,1.136,1.137,2611.11,2969.72155
1690866300000,2023-08-01T05:05:00Z,1.137,1.138,1.137,1.138,2740.04,3116.59396
1690866600000,2023-08-01T05:10:00Z,1.138,1.138,1.136,1.137,221.36,251.59579
1690866900000,2023-08-01T05:15:00Z,1.137,1.137,1.136,1.136,337.81,383.79613
1690867200000,2023-08-01T05:20:00Z,1.136,1.137,1.136,1.137,2549.51,2897.17458
1690867500000,2023-08-01T05:25:00Z,1.137,1.137,1.136,1.136,431.41,490.15212
1690867800000,2023-08-01T05:30:00Z,1.136,1.137,1.135,1.136,2301.04,2615.64452
1690868100000,2023-08-01T05:35:00Z,1.136,1.138,1.136,1.138,2921.15,3321.34773
1690868400000,2023-08-01T05:40:00Z,1.138,1.139,1.137,1.137,4934.77,5615.89833
1690868700000,2023-08-01T05:45:00Z,1.137,1.138,1.137,1.137,268.77,305.72869
1690869000000,2023-08-01T05:50:00Z,1.137,1.14,1.137,1.14,1846.78,2101.56866
1690869300000,2023-08-01T05:55:00Z,1.14,1.142,1.14,1.142,8875.27,10125.74163
1690869600000,2023-08-01T06:00:00Z,1.142,1.142,1.139,1.14,1049.73,1196.27386
1690869900000,2023-08-01T06:05:00Z,1.14,1.141,1.139,1.14,224.87,256.35896
1690870200000,2023-08-01T06:10:00Z,1.14,1.143,1.14,1.143,11420.76,13044.50873
1690870500000,2023-08-01T06:15:00Z,1.143,1.143,1.141,1.142,51477.91,58787.68758
1690870800000,2023-08-01T06:20:00Z,1.142,1.142,1.141,1.142,32.14,36.69888
1690871100000,2023-08-01T06:25:00Z,1.142,1.144,1.141,1.144,1487.61,1699.41921
1690871400000,2023-08-01T06:30:00Z,1.144,1.146,1.143,1.146,17214.37,19714.57767
1690871700000,2023-08-01T06:35:00Z,1.146,1.148,1.146,1.146,1101.13,1262.81616
1690872000000,2023-08-01T06:40:00Z,1.146,1.146,1.144,1.145,3848.47,4402.6619
1690872300000,2023-08-01T06:45:00Z,1.145,1.145,1.143,1.144,518.02,592.42273
1690872600000,2023-08-01T06:50:00Z,1.144,1.146,1.144,1.146,1716.95,1967.52852
1690872900000,2023-08-01T06:55:00Z,1.146,1.146,1.145,1.146,553.55,634.2683
1690873200000,2023-08-01T07:00:00Z,1.146,1.146,1.143,1.143,4410.69,5049.01597
1690873500000,2023-08-01T07:05:00Z,1.143,1.146,1.143,1.144,8649.62,9900.60774
1690873800000,2023-08-01T07:10:00Z,1.144,1.145,1.144,1.144,1170.98,1339.65085
1690874100000,2023-08-01T07:15:00Z,1.144,1.146,1.144,1.145,482.87,552.97413
1690874400000,2023-08-01T07:20:00Z,1.145,1.145,1.143,1.144,430.68,492.8991
1690874700000,2023-08-01T07:25:00Z,1.144,1.146,1.144,1.145,3148.64,3605.20137
1690875000000,2023-08-01T07:30:00Z,1.145,1.146,1.144,1.144,6751.25,7726.2421
1690875300000,2023-08-01T07:35:00Z,1.144,1.147,1.144,1.147,834.62,956.72748
1690875600000,2023-08-01T07:40:00Z,1.147,1.147,1.146,1.147,3580.23,4105.98345
1690875900000,2023-08-01T07:45:00Z,1.147,1.147,1.146,1.146,3463.17,3968.80471
1690876200000,2023-08-01T07:50:00Z,1.146,1.147,1.145,1.147,341.27,391.09615
1690876500000,2023-08-01T07:55:00Z,1.147,1.148,1.146,1.147,5147.77,5904.90938
1690876800000,2023-08-01T08:00:00Z,1.147,1.148,1.146,1.148,2167.69,2486.92606
1690877100000,2023-08-01T08:05:00Z,1.148,1.148,1.146,1.146,649.57,744.96277
1690877400000,2023-08-01T08:10:00Z,1.146,1.148,1.146,1.147,962.87,1104.42931
1690877700000,2023-08-01T08:15:00Z,1.147,1.147,1.146,1.147,1728.59,1982.12194
1690878000000,2023-08-01T08:20:00Z,1.147,1.148,1.147,1.148,799.39,917.06581
1690878300000,2023-08-01T08:25:00Z,1.148,1.15,1.147,1.149,2530.34,2906.11759
1690878600000,2023-08-01T08:30:00Z,1.149,1.149,1.146,1.148,1055.77,1210.9221
1690878900000,2023-08-01T08:35:00Z,1.148,1.149,1.147,1.149,564.93,648.44102
1690879200000,2023-08-01T08:40:00Z,1.149,1.149,1.148,1.148,248.96,285.80608
1690879500000,2023-08-01T08:45:00Z,1.148,1.148,1.143,1.145,2607.48,2984.29304
1690879800000,2023-08-01T08:50:00Z,1.145,1.146,1.145,1.145,2011.21,2302.84425
1690880100000,2023-08-01T08:55:00Z,1.145,1.147,1.145,1.147,2873.41,3295.59935
1690880400000,2023-08-01T09:00:00Z,1.147,1.148,1.146,1.146,474.76,544.49013
1690880700000,2023-08-01T09:05:00Z,1.146,1.146,1.145,1.146,5340.44,6118.17886
1690881000000,2023-08-01T09:10:00Z,1.146,1.146,1.145,1.145,38.19,43.72755
1690881300000,2023-08-01T09:15:00Z,1.145,1.145,1.144,1.145,395.48,452.44505
1690881600000,2023-08-01T09:20:00Z,1.145,1.145,1.143,1.144,1784.76,2042.5199
1690881900000,2023-08-01T09:25:00Z,1.144,1.144,1.142,1.142,544.02,621.77084
1690882200000,2023-08-01T09:30:00Z,1.142,1.144,1.142,1.144,1293.9,1479.0811
1690882500000,2023-08-01T09:35:00Z,1.144,1.145,1.143,1.145,858.77,982.42876
1690882800000,2023-08-01T09:40:00Z,1.145,1.145,1.144,1.145,2050.41,2347.56945
1690883100000,2023-08-01T09:45:00Z,1.145,1.145,1.143,1.144,176.15,201.39744
1690883400000,2023-08-01T09:50:00Z,1.144,1.145,1.144,1.145,158.03,180.78719
1690883700000,2023-08-01T09:55:00Z,1.145,1.145,1.143,1.144,1810.25,2070.91113
1690884000000,2023-08-01T10:00:00Z,1.144,1.144,1.142,1.142,3209.7,3666.89574
1690884300000,2023-08-01T10:05:00Z,1.142,1.143,1.142,1.143,705.85,806.18655
1690884600000,2023-08-01T10:10:00Z,1.143,1.143,1.141,1.142,6214.32,7091.3982
1690884900000,2023-08-01T10:15:00Z,1.142,1.143,1.142,1.143,1351.96,1545.22176
1690885200000,2023-08-01T10:20:00Z,1.143,1.143,1.142,1.143,3065.91,3502.33663
1690885500000,2023-08-01T10:25:00Z,1.143,1.143,1.141,1.141,1396.24,1594.0252
1690885800000,2023-08-01T10:30:00Z,1.141,1.142,1.141,1.142,1221.02,1394.38382
1690886100000,2023-08-01T10:35:00Z,1.142,1.142,1.141,1.142,1129.57,1289.94816
1690886400000,2023-08-01T10:40:00Z,1.142,1.143,1.141,1.142,1541.38,1760.38813
1690886700000,2023-08-01T10:45:00Z,1.142,1.142,1.141,1.142,86.2,98.43417
1690887000000,2023-08-01T10:50:00Z,1.142,1.143,1.141,1.143,2052.05,2343.9874
1690887300000,2023-08-01T10:55:00Z,1.143,1.143,1.142,1.142,1309.87,1495.87154
1690887600000,2023-08-01T11:00:00Z,1.142,1.142,1.141,1.142,6348.54,7243.78396
1690887900000,2023-08-01T11:05:00Z,1.142,1.142,1.142,1.142,111.48,127.31016
1690888200000,2023-08-01T11:10:00Z,1.142,1.142,1.141,1.142,2403.69,2743.40267
1690888500000,2023-08-01T11:15:00Z,1.142,1.143,1.142,1.143,233.81,267.24483
1690888800000,2023-08-01T11:20:00Z,1.143,1.143,1.14,1.14,1080.62,1233.43822
1690889100000,2023-08-01T11:25:00Z,1.14,1.141,1.14,1.141,883.59,1007.3347
1690889400000,2023-08-01T11:30:00Z,1.141,1.141,1.138,1.138,1576.06,1795.94349
1690889700000,2023-08-01T11:35:00Z,1.138,1.139,1.138,1.139,785.51,893.91125
1690890000000,2023-08-01T11:40:00Z,1.139,1.139,1.136,1.138,5729.68,6517.27784
1690890300000,2023-08-01T11:45:00Z,1.138,1.138,1.136,1.138,3588.43,4079.76914
1690890600000,2023-08-01T11:50:00Z,1.138,1.139,1.138,1.138,1767.28,2011.2494
1690890900000,2023-08-01T11:55:00Z,1.138,1.138,1.137,1.137,2109.5,2398.5015
1690891200000,2023-08-01T12:00:00Z,1.137,1.138,1.136,1.136,7135.05,8109.80237
1690891500000,2023-08-01T12:05:00Z,1.136,1.136,1.136,1.136,22.71,25.79856
1690891800000,2023-08-01T12:10:00Z,1.136,1.137,1.135,1.136,5907.39,6706.43161
1690892100000,2023-08-01T12:15:00Z,1.136,1.137,1.135,1.136,1265.86,1438.10291
1690892400000,2023-08-01T12:20:00Z,1.136,1.136,1.135,1.135,5104.5,5793.65144
1690892700000,2023-08-01T12:25:00Z,1.135,1.135,1.133,1.133,4135.26,4688.55429
1690893000000,2023-08-01T12:30:00Z,1.133,1.139,1.132,1.138,3735.53,4236.86983
