timestamp_ms,datetime_utc,open,high,low,close,volume,turnover,mark_open,mark_high,mark_low,mark_close,index_open,index_high,index_low,index_close,premium_open,premium_high,premium_low,premium_close,basis,basis_pct
1643673600000,2022-02-01T00:00:00Z,285,285.15,284.2,284.6,60.62,17248.4135,284.99,285.25,284.09,284.97,284.98,285.23,283.99,284.94,-0.00045566,0.00002068,-0.0001408,-0.0001408,-0.339999999999975,-0.0011932336632272584
1643673900000,2022-02-01T00:05:00Z,284.6,286.1,284.4,285.8,25.85,7391.4435,284.97,286.33,284.61,286.1,284.94,286.3,284.57,286.01,-0.0001408,-0.00021689,-0.00042667,-0.00042667,-0.20999999999997954,-0.0007342400615362384
1643674200000,2022-02-01T00:10:00Z,285.8,285.8,285,285.05,16.79,4786.878,286.1,286.1,285.17,285.36,286.01,286.01,285.14,285.33,-0.00042667,-0.00067393,-0.00081409,-0.00067393,-0.2799999999999727,-0.0009813198752320917
1643674500000,2022-02-01T00:15:00Z,285.05,285.25,284,284.3,62.02,17668.5775,285.36,285.37,284.03,284.38,285.33,285.35,284,284.35,-0.00067393,-0.00004477,-0.00043049,-0.00004477,-0.05000000000001137,-0.0001758396342536007
1643674800000,2022-02-01T00:20:00Z,284.3,284.7,284.05,284.7,37.89,10772.58,284.38,284.99,284.18,284.9,284.35,284.98,284.15,284.87,-0.00004477,-0.00069715,-0.00085419,-0.00069715,-0.17000000000001592,-0.0005967634359532977
1643675100000,2022-02-01T00:25:00Z,284.7,284.9,284.55,284.8,26.51,7548.6055,284.9,285.02,284.65,284.92,284.87,284.99,284.62,284.89,-0.00069715,0.00026963,-0.00050255,0.00026963,-0.08999999999997499,-0.00031591140440161115
1643675400000,2022-02-01T00:30:00Z,284.8,285.05,284.1,284.15,13.01,3705.222,284.92,285.18,284.31,284.32,284.89,285.15,284.28,284.29,0.00026963,0.00004147,-0.00057744,-0.00057744,-0.1400000000000432,-0.0004924548876149115
1643675700000,2022-02-01T00:35:00Z,284.15,284.35,284,284.05,1.19,338.1465,284.32,284.52,284.16,284.25,284.29,284.49,284.13,284.22,-0.00057744,-0.00004869,-0.0003668,-0.0003668,-0.17000000000001592,-0.000598128210541186
1643676000000,2022-02-01T00:40:00Z,284.05,284.15,283.8,284.15,1.33,377.668,284.25,284.26,283.96,284.19,284.22,284.24,283.93,284.16,-0.0003668,0.00009104,-0.00023232,-0.00023232,-0.010000000000047748,-3.519144144160947e-05
1643676300000,2022-02-01T00:45:00Z,284.15,284.55,283.9,284.3,14.98,4253.3725,284.19,284.62,284.04,284.4,284.16,284.59,284.01,284.37,-0.00023232,-0.00019154,-0.00033194,-0.00033194,-0.06999999999999318,-0.00024615817420963246
1643676600000,2022-02-01T00:50:00Z,284.3,284.45,284.3,284.45,13.97,3973.7355,284.4,284.6,284.4,284.43,284.37,284.57,284.37,284.39,-0.00033194,-0.00022737,-0.00029785,-0.00029785,0.060000000000002274,0.00021097788248532746
1643676900000,2022-02-01T00:55:00Z,284.45,284.45,284,284,28.73,8169.182,284.43,284.44,284.02,284.11,284.39,284.41,283.95,284.09,-0.00029785,0.00008771,-0.00015838,0.00008771,-0.08999999999997499,-0.00031680101376315605
1643677200000,2022-02-01T01:00:00Z,284,284.5,284,284.15,48.64,13820.379,284.11,284.57,283.97,284.21,284.09,284.55,283.95,284.19,0.00008771,-0.00011568,-0.00114386,-0.00011568,-0.040000000000020464,-0.00014075090608402991
1643677500000,2022-02-01T01:05:00Z,284.15,284.55,284.15,284.3,7.66,2178.402,284.21,284.61,284.16,284.48,284.19,284.59,284.14,284.46,-0.00011568,-0.00012499,-0.00020474,-0.00020474,-0.15999999999996817,-0.0005624692399633276
1643677800000,2022-02-01T01:10:00Z,284.3,284.5,284.25,284.5,16.14,4588.027,284.48,284.53,284.28,284.46,284.46,284.51,284.26,284.44,-0.00020474,0.00008458,-0.00002072,0.00008458,0.060000000000002274,0.00021094079594994472
1643678100000,2022-02-01T01:15:00Z,284.5,284.5,284.1,284.1,17.45,4963.6125,284.46,284.51,284.17,284.18,284.44,284.49,284.15,284.16,0.00008458,-0.00013636,-0.00019773,-0.00013636,-0.060000000000002274,-0.00021114864864865663
1643678400000,2022-02-01T01:20:00Z,284.1,284.15,284.05,284.1,2.04,579.556,284.18,284.27,284.08,284.17,284.16,284.25,284.06,284.13,-0.00013636,0.00008271,0.00005012,0.00005012,-0.029999999999972715,-0.00010558547143903394
1643678700000,2022-02-01T01:25:00Z,284.1,284.5,284,284.35,52.9,15033.204,284.17,284.6,283.95,284.49,284.13,284.58,283.93,284.47,0.00005012,0.00008167,0.00008146,0.00008146,-0.12000000000000455,-0.00042183710057301134
1643679000000,2022-02-01T01:30:00Z,284.35,284.35,283.65,283.7,19.6,5565.0385,284.49,284.49,283.76,283.88,284.47,284.47,283.74,283.86,0.00008146,0.00008042,-0.00023624,0.00008042,-0.160000000000025,-0.000563658141337367
1643679300000,2022-02-01T01:35:00Z,283.7,283.7,283.65,283.7,1.42,402.85,283.88,283.98,283.84,283.93,283.86,283.96,283.82,283.91,0.00008042,-0.00031147,-0.00040323,-0.00040323,-0.21000000000003638,-0.0007396710225072606
1643679600000,2022-02-01T01:40:00Z,283.7,283.8,283.6,283.8,32.1,9108.6715,283.93,284.04,283.65,283.86,283.91,284.02,283.63,283.84,-0.00040323,-0.00013316,-0.00043053,-0.00013316,-0.03999999999996362,-0.0001409244644869068
1643679900000,2022-02-01T01:45:00Z,283.8,283.8,282.7,282.75,40.78,11551.861,283.86,284.02,282.87,282.89,283.84,284.02,282.85,282.87,-0.00013316,-0.00034602,-0.00043771,-0.00043771,-0.12000000000000455,-0.00042422314137237794
1643680200000,2022-02-01T01:50:00Z,282.75,283.15,282.6,282.95,10.04,2839.3295,282.89,283.42,282.59,283.13,282.87,283.4,282.57,283.1,-0.00043771,0.00007625,-0.00006494,0.00007625,-0.1500000000000341,-0.0005298481102085274
1643680500000,2022-02-01T01:55:00Z,282.95,283.25,282.8,282.8,64.41,18225.4985,283.13,283.37,283.03,283.03,283.1,283.35,283.01,283.01,0.00007625,-0.00041333,-0.00066647,-0.00066647,-0.20999999999997954,-0.000742023250061763
1643680800000,2022-02-01T02:00:00Z,282.8,283.2,282.75,283.05,88.32,25000.1645,283.03,283.46,282.91,283.25,283.01,283.44,282.89,283.23,-0.00066647,-0.00005482,-0.00057379,-0.00057379,-0.18000000000000682,-0.0006355258976803545
1643681100000,2022-02-01T02:05:00Z,283.05,283.15,282.6,282.85,9.26,2620.8265,283.25,283.37,282.84,283.13,283.23,283.36,282.82,283.11,-0.00057379,-0.0003075,-0.00045693,-0.0003075,-0.2599999999999909,-0.0009183709512203415
1643681400000,2022-02-01T02:10:00Z,282.85,283.45,282.85,283.3,9.05,2563.0175,283.13,283.59,283.01,283.47,283.11,283.57,282.99,283.45,-0.0003075,-0.00034142,-0.00070428,-0.00070428,-0.14999999999997726,-0.0005291938613511281
