timestamp_ms,datetime_utc,open,high,low,close,volume,turnover
1667260800000,2022-11-01T00:00:00Z,0.885,0.888,0.884,0.888,4163.42,3686.72297
1667261100000,2022-11-01T00:05:00Z,0.888,0.888,0.886,0.886,579.5,513.96829
1667261400000,2022-11-01T00:10:00Z,0.886,0.889,0.886,0.889,228.1,202.77632
1667261700000,2022-11-01T00:15:00Z,0.889,0.889,0.887,0.889,763.37,678.01311
1667262000000,2022-11-01T00:20:00Z,0.889,0.889,0.886,0.886,657.06,582.83753
1667262300000,2022-11-01T00:25:00Z,0.886,0.886,0.883,0.883,1820.81,1610.96922
1667262600000,2022-11-01T00:30:00Z,0.883,0.885,0.883,0.883,1272.79,1125.08123
1667262900000,2022-11-01T00:35:00Z,0.883,0.891,0.883,0.89,2175.87,1930.2931
1667263200000,2022-11-01T00:40:00Z,0.89,0.891,0.89,0.891,1842.69,1641.29646
1667263500000,2022-11-01T00:45:00Z,0.891,0.892,0.89,0.892,189.91,169.17366
1667263800000,2022-11-01T00:50:00Z,0.892,0.892,0.889,0.889,743.34,660.97585
1667264100000,2022-11-01T00:55:00Z,0.889,0.891,0.889,0.891,564.85,502.15623
1667264400000,2022-11-01T01:00:00Z,0.891,0.891,0.89,0.891,1259.01,1121.24482
1667264700000,2022-11-01T01:05:00Z,0.891,0.892,0.891,0.892,761.28,679.05947
1667265000000,2022-11-01T01:10:00Z,0.892,0.893,0.892,0.893,1704,1520.13993
1667265300000,2022-11-01T01:15:00Z,0.893,0.893,0.892,0.892,1020.97,911.41187
1667265600000,2022-11-01T01:20:00Z,0.892,0.894,0.892,0.893,783.32,699.51678
1667265900000,2022-11-01T01:25:00Z,0.893,0.894,0.892,0.892,190.42,169.85922
1667266200000,2022-11-01T01:30:00Z,0.892,0.896,0.892,0.896,814.95,730.13756
1667266500000,2022-11-01T01:35:00Z,0.896,0.896,0.895,0.896,2066.89,1850.36939
1667266800000,2022-11-01T01:40:00Z,0.896,0.896,0.894,0.894,1604.27,1434.95018
1667267100000,2022-11-01T01:45:00Z,0.894,0.894,0.894,0.894,335.36,299.81184
1667267400000,2022-11-01T01:50:00Z,0.894,0.894,0.892,0.892,93.35,83.38676
1667267700000,2022-11-01T01:55:00Z,0.892,0.895,0.892,0.895,4.58,4.0991
1667268000000,2022-11-01T02:00:00Z,0.895,0.895,0.894,0.894,417.32,373.08408
1667268300000,2022-11-01T02:05:00Z,0.894,0.894,0.894,0.894,4.58,4.09452
