timestamp_ms,datetime_utc,open,high,low,close,volume,turnover,mark_open,mark_high,mark_low,mark_close,index_open,index_high,index_low,index_close,premium_open,premium_high,premium_low,premium_close,basis,basis_pct
1685577600000,2023-06-01T00:00:00Z,7.2575,7.2575,7.1825,7.187,25977.7,187346.6678,7.2583,7.2583,7.1931,7.1931,7.2622,7.2622,7.1934,7.1934,-0.0001822,-0.00079477,-0.00089215,-0.00089215,-0.006399999999999295,-0.000889704451302485
1685577900000,2023-06-01T00:05:00Z,7.187,7.1995,7.161,7.1975,39886.6,286335.86315,7.1931,7.199,7.1635,7.1975,7.1934,7.2021,7.1693,7.1991,-0.00089215,-0.00016853,-0.00082786,-0.00082786,-0.0015999999999998238,-0.00022225000347263183
1685578200000,2023-06-01T00:10:00Z,7.1975,7.286,7.191,7.279,50700.5,367919.3559,7.1975,7.2825,7.193,7.2799,7.1991,7.2881,7.1977,7.2837,-0.00082786,-0.00017486,-0.00058596,-0.00017486,-0.004699999999999704,-0.0006452764391723581
1685578500000,2023-06-01T00:15:00Z,7.279,7.2995,7.208,7.2115,37719.3,274271.3104,7.2799,7.2949,7.2081,7.2115,7.2837,7.2987,7.2164,7.22,-0.00017486,-0.0008093,-0.00090886,-0.00090886,-0.00849999999999973,-0.0011772853185595194
1685578800000,2023-06-01T00:20:00Z,7.2115,7.244,7.2075,7.217,26917.1,194410.0279,7.2115,7.244,7.2075,7.217,7.22,7.2461,7.2152,7.2217,-0.00090886,-0.00041193,-0.00086523,-0.00086523,-0.004700000000000593,-0.000650816289793344
1685579100000,2023-06-01T00:25:00Z,7.217,7.219,7.196,7.2015,16782.4,120911.5415,7.217,7.217,7.196,7.2035,7.2217,7.2217,7.2012,7.2056,-0.00086523,-0.00045468,-0.00069961,-0.00069961,-0.004099999999999326,-0.0005690018874208014
1685579400000,2023-06-01T00:30:00Z,7.2015,7.2125,7.175,7.175,21185.7,152319.88365,7.2035,7.2125,7.1795,7.1815,7.2056,7.2145,7.1808,7.1808,-0.00069961,0,-0.00021923,-0.00021923,-0.005799999999999805,-0.0008077094474153027
1685579700000,2023-06-01T00:35:00Z,7.175,7.1785,7.143,7.1585,31518.9,225512.5209,7.1815,7.1815,7.148,7.162,7.1808,7.183,7.1538,7.1688,-0.00021923,-0.00055146,-0.00115452,-0.00055146,-0.010299999999999976,-0.0014367816091953988
1685580000000,2023-06-01T00:40:00Z,7.1585,7.172,7.1335,7.148,23734.4,169759.25015,7.162,7.172,7.1405,7.148,7.1688,7.1762,7.1465,7.1531,-0.00055146,-0.00078131,-0.00117231,-0.00078131,-0.0051000000000005485,-0.000712977590135822
1685580300000,2023-06-01T00:45:00Z,7.148,7.152,7.1235,7.1395,16477.8,117569.56725,7.148,7.152,7.1282,7.1434,7.1531,7.1571,7.132,7.1501,-0.00078131,-0.00002803,-0.00065818,-0.00002803,-0.010600000000000165,-0.0014824967482972497
