timestamp_ms,datetime_utc,open,high,low,close,volume,turnover
1682899200000,2023-05-01T00:00:00Z,2.024,2.0326,2.0236,2.0326,5117.83,10383.904021
1682899500000,2023-05-01T00:05:00Z,2.0326,2.0345,2.0303,2.0345,1062.52,2158.302827
1682899800000,2023-05-01T00:10:00Z,2.0345,2.0345,2.0319,2.033,555.18,1128.603764
1682900100000,2023-05-01T00:15:00Z,2.033,2.0387,2.0319,2.0325,1690.9,3441.487997
1682900400000,2023-05-01T00:20:00Z,2.0325,2.0328,2.0304,2.0322,584.82,1187.946726
1682900700000,2023-05-01T00:25:00Z,2.0322,2.0372,2.0311,2.0351,1392.08,2831.607075
1682901000000,2023-05-01T00:30:00Z,2.0351,2.0351,2.0342,2.0348,656.31,1335.265173
1682901300000,2023-05-01T00:35:00Z,2.0348,2.0371,2.0332,2.0347,854.22,1738.245963
1682901600000,2023-05-01T00:40:00Z,2.0347,2.0351,2.0318,2.0351,1697.11,3450.250807
1682901900000,2023-05-01T00:45:00Z,2.0351,2.0359,2.0318,2.0343,1322.62,2690.043246
1682902200000,2023-05-01T00:50:00Z,2.0343,2.0343,2.03,2.03,4320.19,8777.624121
1682902500000,2023-05-01T00:55:00Z,2.03,2.0328,2.03,2.0328,8.45,17.164584
1682902800000,2023-05-01T01:00:00Z,2.0328,2.0342,2.0312,2.0341,211.18,429.521338
1682903100000,2023-05-01T01:05:00Z,2.0341,2.0341,2.0312,2.0312,186.51,379.35305
1682903400000,2023-05-01T01:10:00Z,2.0312,2.0319,2.028,2.028,2203.58,4472.980126
1682903700000,2023-05-01T01:15:00Z,2.028,2.0318,2.0269,2.0269,3548.69,7196.640377
1682904000000,2023-05-01T01:20:00Z,2.0269,2.0315,2.0267,2.0292,3614.88,7329.985869
1682904300000,2023-05-01T01:25:00Z,2.0292,2.0292,2.0245,2.0277,315.1,638.575569
1682904600000,2023-05-01T01:30:00Z,2.0277,2.0282,2.0254,2.0254,464.73,941.455228
1682904900000,2023-05-01T01:35:00Z,2.0254,2.0255,1.9894,1.9925,25046.19,50213.451581
1682905200000,2023-05-01T01:40:00Z,1.9925,1.9925,1.9784,1.9835,6798.31,13491.221552
1682905500000,2023-05-01T01:45:00Z,1.9835,1.9879,1.9766,1.9868,3073.18,6088.439574
1682905800000,2023-05-01T01:50:00Z,1.9868,1.9885,1.9716,1.9885,9205.74,18221.983862
1682906100000,2023-05-01T01:55:00Z,1.9885,1.9968,1.9885,1.9968,3883.61,7737.017647
1682906400000,2023-05-01T02:00:00Z,1.9968,2.0069,1.9928,2.0047,1843.42,3681.08661
1682906700000,2023-05-01T02:05:00Z,2.0047,2.0076,2.0042,2.0076,738.98,1482.630098
1682907000000,2023-05-01T02:10:00Z,2.0076,2.0172,2.0072,2.0172,1584.2,3190.339733
1682907300000,2023-05-01T02:15:00Z,2.0172,2.0172,2.0125,2.0139,253.18,509.665281
1682907600000,2023-05-01T02:20:00Z,2.0139,2.0152,2.0133,2.0136,539.97,1087.320648
1682907900000,2023-05-01T02:25:00Z,2.0136,2.0144,2.013,2.0133,384.45,774.264194
1682908200000,2023-05-01T02:30:00Z,2.0133,2.0176,2.0133,2.0165,682.29,1375.706658
1682908500000,2023-05-01T02:35:00Z,2.0165,2.017,2.0148,2.017,1140.04,2297.844626
1682908800000,2023-05-01T02:40:00Z,2.017,2.017,2.0155,2.0159,93.09,187.688084
1682909100000,2023-05-01T02:45:00Z,2.0159,2.0194,2.0159,2.0185,275.17,555.323029
1682909400000,2023-05-01T02:50:00Z,2.0185,2.0207,2.0181,2.0207,1004.89,2029.563998
1682909700000,2023-05-01T02:55:00Z,2.0207,2.0224,2.0207,2.0216,287.68,581.543339
1682910000000,2023-05-01T03:00:00Z,2.0216,2.027,2.0216,2.027,897.83,1817.660923
1682910300000,2023-05-01T03:05:00Z,2.027,2.0272,2.0231,2.0239,897.93,1817.804634
1682910600000,2023-05-01T03:10:00Z,2.0239,2.0262,2.0187,2.0189,1147.51,2318.863388
1682910900000,2023-05-01T03:15:00Z,2.0189,2.0231,2.0138,2.0219,2779.4,5615.020868
1682911200000,2023-05-01T03:20:00Z,2.0219,2.0254,2.0208,2.022,676.56,1368.287951
1682911500000,2023-05-01T03:25:00Z,2.022,2.0236,2.0199,2.0236,794.2,1605.856055
1682911800000,2023-05-01T03:30:00Z,2.0236,2.0236,2.0197,2.0197,1265.5,2557.368102
1682912100000,2023-05-01T03:35:00Z,2.0197,2.0198,2.017,2.0174,2053.73,4145.175449
1682912400000,2023-05-01T03:40:00Z,2.0174,2.0188,2.017,2.017,206.49,416.622903
1682912700000,2023-05-01T03:45:00Z,2.017,2.017,2.0138,2.014,1149.88,2316.52615
1682913000000,2023-05-01T03:50:00Z,2.014,2.014,2.0107,2.0131,1753.28,3527.400143
1682913300000,2023-05-01T03:55:00Z,2.0131,2.0144,2.0126,2.0144,586.88,1181.505213
1682913600000,2023-05-01T04:00:00Z,2.0144,2.0144,2.0099,2.0099,1402.31,2821.744401
1682913900000,2023-05-01T04:05:00Z,2.0099,2.0128,2.0099,2.0105,941.41,1893.43383
1682914200000,2023-05-01T04:10:00Z,2.0105,2.0136,2.0105,2.0135,159.47,320.74498
1682914500000,2023-05-01T04:15:00Z,2.0135,2.0135,2.012,2.0125,532.83,1072.35942
1682914800000,2023-05-01T04:20:00Z,2.0125,2.0132,2.0101,2.0132,797.09,1603.667359
1682915100000,2023-05-01T04:25:00Z,2.0132,2.0175,2.0123,2.0164,448.88,904.780777
1682915400000,2023-05-01T04:30:00Z,2.0164,2.0184,2.0159,2.0179,472.77,953.673762
1682915700000,2023-05-01T04:35:00Z,2.0179,2.0179,2.0133,2.0164,1879.75,3788.506315
1682916000000,2023-05-01T04:40:00Z,2.0164,2.0186,2.0157,2.018,780.18,1573.397083
1682916300000,2023-05-01T04:45:00Z,2.018,2.0196,2.018,2.0196,189.99,383.442053
1682916600000,2023-05-01T04:50:00Z,2.0196,2.0232,2.0196,2.0214,268.71,543.391173
1682916900000,2023-05-01T04:55:00Z,2.0214,2.0228,2.0198,2.0212,2399.97,4851.617923
1682917200000,2023-05-01T05:00:00Z,2.0212,2.022,2.0164,2.0165,1054.44,2129.222938
1682917500000,2023-05-01T05:05:00Z,2.0165,2.0237,2.0141,2.0224,3197.72,6459.669406
1682917800000,2023-05-01T05:10:00Z,2.0224,2.0224,2.02,2.022,1874.37,3788.379871
1682918100000,2023-05-01T05:15:00Z,2.022,2.0229,2.0201,2.0208,1042.93,2107.933263
1682918400000,2023-05-01T05:20:00Z,2.0208,2.0209,2.0188,2.0194,924.27,1866.546532
1682918700000,2023-05-01T05:25:00Z,2.0194,2.0194,2.0115,2.0126,1638.48,3301.341254
1682919000000,2023-05-01T05:30:00Z,2.0126,2.0126,2.0062,2.0089,1294.37,2598.842068
1682919300000,2023-05-01T05:35:00Z,2.0089,2.0106,2.0061,2.009,768.83,1544.190812
1682919600000,2023-05-01T05:40:00Z,2.009,2.0106,1.9979,2.0101,9246.21,18536.093687
1682919900000,2023-05-01T05:45:00Z,2.0101,2.012,2.0055,2.0098,899.42,1807.689224
1682920200000,2023-05-01T05:50:00Z,2.0098,2.0158,2.0079,2.0158,1336.31,2687.590969
1682920500000,2023-05-01T05:55:00Z,2.0158,2.0161,2.0134,2.014,306.65,617.68044
1682920800000,2023-05-01T06:00:00Z,2.014,2.014,2.0113,2.0113,352.43,709.392123
1682921100000,2023-05-01T06:05:00Z,2.0113,2.0167,2.0113,2.0162,762.84,1536.635781
1682921400000,2023-05-01T06:10:00Z,2.0162,2.0166,2.0108,2.0108,1588.99,3201.367768
1682921700000,2023-05-01T06:15:00Z,2.0108,2.011,2.0094,2.0106,891.28,1791.729908
1682922000000,2023-05-01T06:20:00Z,2.0106,2.0106,2.008,2.008,1362.98,2739.505433
1682922300000,2023-05-01T06:25:00Z,2.008,2.0114,2.008,2.0114,987.39,1983.582523
1682922600000,2023-05-01T06:30:00Z,2.0114,2.0131,2.0096,2.0106,297.81,598.602698
1682922900000,2023-05-01T06:35:00Z,2.0106,2.0115,2.0102,2.0102,489.42,984.303447
1682923200000,2023-05-01T06:40:00Z,2.0102,2.0153,2.0102,2.0129,981.23,1976.248792
1682923500000,2023-05-01T06:45:00Z,2.0129,2.0148,2.0129,2.0148,272.98,549.761876
1682923800000,2023-05-01T06:50:00Z,2.0148,2.0155,2.0139,2.0155,624.07,1257.307454
1682924100000,2023-05-01T06:55:00Z,2.0155,2.0172,2.0148,2.0172,712.92,1437.710115
1682924400000,2023-05-01T07:00:00Z,2.0172,2.0185,2.015,2.0185,989.43,1994.552546
1682924700000,2023-05-01T07:05:00Z,2.0185,2.0336,2.0185,2.0234,2450.81,4967.746828
1682925000000,2023-05-01T07:10:00Z,2.0234,2.0234,2.0203,2.0203,255.51,516.236841
1682925300000,2023-05-01T07:15:00Z,2.0203,2.0218,2.0195,2.0195,572.31,1156.172311
1682925600000,2023-05-01T07:20:00Z,2.0195,2.0209,2.0195,2.0207,189.21,382.289884
1682925900000,2023-05-01T07:25:00Z,2.0207,2.0258,2.0207,2.0251,362.26,733.701496
1682926200000,2023-05-01T07:30:00Z,2.0251,2.0251,2.0219,2.0219,543.33,1098.995437
1682926500000,2023-05-01T07:35:00Z,2.0219,2.0219,2.0198,2.0201,148.91,300.809132
1682926800000,2023-05-01T07:40:00Z,2.0201,2.0224,2.0201,2.0221,522.06,1055.487991
1682927100000,2023-05-01T07:45:00Z,2.0221,2.0235,2.0214,2.0232,251.83,509.254896
1682927400000,2023-05-01T07:50:00Z,2.0232,2.0239,2.021,2.021,647.3,1308.866939
1682927700000,2023-05-01T07:55:00Z,2.021,2.0236,2.021,2.021,2182.82,4414.975545
1682928000000,2023-05-01T08:00:00Z,2.021,2.0216,2.0209,2.0211,122.53,247.65347
1682928300000,2023-05-01T08:05:00Z,2.0211,2.0222,2.0172,2.018,574.18,1159.533821
1682928600000,2023-05-01T08:10:00Z,2.018,2.0197,2.018,2.0197,266.33,537.792101
1682928900000,2023-05-01T08:15:00Z,2.0197,2.0201,2.018,2.0198,1042.89,2105.582437
1682929200000,2023-05-01T08:20:00Z,2.0198,2.0224,2.0198,2.0222,1488.11,3008.858271
1682929500000,2023-05-01T08:25:00Z,2.0222,2.0239,2.0222,2.0239,1219.68,2467.723684
1682929800000,2023-05-01T08:30:00Z,2.0239,2.0245,2.022,2.022,1058.69,2142.146504
1682930100000,2023-05-01T08:35:00Z,2.022,2.0278,2.022,2.0278,584.6,1184.679619
1682930400000,2023-05-01T08:40:00Z,2.0278,2.0278,2.0263,2.0264,75.88,153.761736
1682930700000,2023-05-01T08:45:00Z,2.0264,2.0303,2.0264,2.029,888.44,1803.194234
1682931000000,2023-05-01T08:50:00Z,2.029,2.0292,2.0249,2.0269,509.98,1033.41012
1682931300000,2023-05-01T08:55:00Z,2.0269,2.0315,2.0269,2.0315,339.71,689.724018
1682931600000,2023-05-01T09:00:00Z,2.0315,2.0315,2.0288,2.0288,693.75,1408.351769
1682931900000,2023-05-01T09:05:00Z,2.0288,2.0288,2.0259,2.0259,1346.42,2730.264668
1682932200000,2023-05-01T09:10:00Z,2.0259,2.0289,2.0259,2.0289,1403.14,2844.784582
1682932500000,2023-05-01T09:15:00Z,2.0289,2.0309,2.0282,2.0294,1334.37,2707.832534
1682932800000,2023-05-01T09:20:00Z,2.0294,2.0351,2.0294,2.0319,554.26,1126.329745
1682933100000,2023-05-01T09:25:00Z,2.0319,2.032,2.0278,2.0278,100.38,203.650953
1682933400000,2023-05-01T09:30:00Z,2.0278,2.0278,2.0253,2.0253,313.41,635.489533
1682933700000,2023-05-01T09:35:00Z,2.0253,2.0253,2.0229,2.0235,515.33,1043.142741
1682934000000,2023-05-01T09:40:00Z,2.0235,2.0239,2.0185,2.0196,475.26,959.867994
1682934300000,2023-05-01T09:45:00Z,2.0196,2.0205,2.0176,2.0199,2839.87,5734.292383
1682934600000,2023-05-01T09:50:00Z,2.0199,2.0206,2.0197,2.0205,582.14,1175.90523
1682934900000,2023-05-01T09:55:00Z,2.0205,2.0227,2.0205,2.0219,1204.15,2434.683461
1682935200000,2023-05-01T10:00:00Z,2.0219,2.0223,2.0205,2.0205,719.11,1453.81475
1682935500000,2023-05-01T10:05:00Z,2.0205,2.0237,2.0205,2.0226,503.88,1019.071265
1682935800000,2023-05-01T10:10:00Z,2.0226,2.0247,2.0226,2.0247,807.84,1634.699942
1682936100000,2023-05-01T10:15:00Z,2.0247,2.0247,2.0227,2.0227,19.54,39.55034
1682936400000,2023-05-01T10:20:00Z,2.0227,2.0227,2.02,2.0218,556.34,1124.223058
1682936700000,2023-05-01T10:25:00Z,2.0218,2.024,2.0209,2.0234,247.54,500.5649
1682937000000,2023-05-01T10:30:00Z,2.0234,2.0252,2.0231,2.0231,2217.52,4487.805628
1682937300000,2023-05-01T10:35:00Z,2.0231,2.0243,2.0231,2.0233,268.65,543.643076
1682937600000,2023-05-01T10:40:00Z,2.0233,2.0264,2.022,2.0255,247.02,499.931662
1682937900000,2023-05-01T10:45:00Z,2.0255,2.0263,2.0255,2.0261,438.88,889.201913
1682938200000,2023-05-01T10:50:00Z,2.0261,2.0269,2.024,2.026,1385.41,2806.235177
1682938500000,2023-05-01T10:55:00Z,2.026,2.0269,2.0256,2.0269,93.38,189.177467
1682938800000,2023-05-01T11:00:00Z,2.0269,2.0269,2.0238,2.0244,784.39,1588.262762
1682939100000,2023-05-01T11:05:00Z,2.0244,2.0282,2.0244,2.026,583.13,1182.035784
1682939400000,2023-05-01T11:10:00Z,2.026,2.026,2.0224,2.0224,419.61,849.021769
1682939700000,2023-05-01T11:15:00Z,2.0224,2.0231,2.0196,2.0196,1165.57,2356.663894
1682940000000,2023-05-01T11:20:00Z,2.0196,2.0236,2.0193,2.0236,987.26,1996.156049
1682940300000,2023-05-01T11:25:00Z,2.0236,2.0281,2.0232,2.0281,1101.28,2229.223607
1682940600000,2023-05-01T11:30:00Z,2.0281,2.0308,2.0231,2.0231,4100.55,8314.470178
1682940900000,2023-05-01T11:35:00Z,2.0231,2.0231,2.0207,2.0229,566.72,1145.612957
1682941200000,2023-05-01T11:40:00Z,2.0229,2.0231,2.0207,2.0225,1193.38,2412.506252
1682941500000,2023-05-01T11:45:00Z,2.0225,2.0225,2.0186,2.0187,1150.66,2324.209801
1682941800000,2023-05-01T11:50:00Z,2.0187,2.023,2.0175,2.0227,1200.96,2426.361018
1682942100000,2023-05-01T11:55:00Z,2.0227,2.0227,2.0173,2.0177,2231.7,4505.789862
1682942400000,2023-05-01T12:00:00Z,2.0177,2.0177,2.0145,2.0163,775.08,1562.518884
1682942700000,2023-05-01T12:05:00Z,2.0163,2.0176,2.0163,2.0172,697.65,1406.839606
1682943000000,2023-05-01T12:10:00Z,2.0172,2.0229,2.0167,2.0214,1460.36,2948.629419
1682943300000,2023-05-01T12:15:00Z,2.0214,2.0224,2.0181,2.0181,1576.36,3183.556133
1682943600000,2023-05-01T12:20:00Z,2.0181,2.0209,2.0174,2.0209,2297.7,4638.493921
1682943900000,2023-05-01T12:25:00Z,2.0209,2.0219,2.0189,2.0219,743.8,1503.015479
1682944200000,2023-05-01T12:30:00Z,2.0219,2.0232,2.0216,2.023,1595.88,3227.168906
1682944500000,2023-05-01T12:35:00Z,2.023,2.0246,2.0217,2.0225,3091.53,6253.277459
1682944800000,2023-05-01T12:40:00Z,2.0225,2.0229,2.0153,2.0192,6358.55,12829.727995
1682945100000,2023-05-01T12:45:00Z,2.0192,2.0209,2.0191,2.0191,2453.64,4957.277604
1682945400000,2023-05-01T12:50:00Z,2.0191,2.0202,2.0178,2.0196,1120.82,2262.773655
1682945700000,2023-05-01T12:55:00Z,2.0196,2.0203,2.0154,2.0156,2690.49,5429.89499
1682946000000,2023-05-01T13:00:00Z,2.0156,2.0156,2.0116,2.0116,948.91,1910.487836
1682946300000,2023-05-01T13:05:00Z,2.0116,2.0124,2.0105,2.0113,2176.84,4378.400779
1682946600000,2023-05-01T13:10:00Z,2.0113,2.0115,2.0105,2.0111,911.47,1832.801647
1682946900000,2023-05-01T13:15:00Z,2.0111,2.0111,2.0094,2.0106,1489.63,2994.302594
1682947200000,2023-05-01T13:20:00Z,2.0106,2.0122,2.0104,2.0121,1923.64,3869.276459
1682947500000,2023-05-01T13:25:00Z,2.0121,2.0151,2.0112,2.0123,1386.4,2791.69558
1682947800000,2023-05-01T13:30:00Z,2.0123,2.0139,2.0082,2.0083,2182.57,4388.933376
1682948100000,2023-05-01T13:35:00Z,2.0083,2.0086,2.0046,2.0046,5114.52,10257.96757
1682948400000,2023-05-01T13:40:00Z,2.0046,2.0049,1.9999,2.0006,1845.91,3696.330499
1682948700000,2023-05-01T13:45:00Z,2.0006,2.0027,1.9989,2.0012,2258.63,4517.613793
1682949000000,2023-05-01T13:50:00Z,2.0012,2.0037,2.0007,2.0015,3377,6760.427652
1682949300000,2023-05-01T13:55:00Z,2.0015,2.0015,1.9924,1.9956,1405.68,2805.116394
1682949600000,2023-05-01T14:00:00Z,1.9956,1.9956,1.9784,1.9933,11261.87,22384.847423
1682949900000,2023-05-01T14:05:00Z,1.9933,1.9968,1.9919,1.9924,1529.82,3052.219973
1682950200000,2023-05-01T14:10:00Z,1.9924,1.9965,1.9918,1.9957,6909.02,13777.936979
1682950500000,2023-05-01T14:15:00Z,1.9957,2.0038,1.9955,2.0018,5528.35,11071.247091
1682950800000,2023-05-01T14:20:00Z,2.0018,2.0018,1.9911,1.9915,3701.24,7381.885748
