timestamp_ms,datetime_utc,open,high,low,close,volume,turnover,mark_open,mark_high,mark_low,mark_close,index_open,index_high,index_low,index_close,premium_open,premium_high,premium_low,premium_close,basis,basis_pct
1675209600000,2023-02-01T00:00:00Z,6.952,6.983,6.949,6.97,25370,176799.3186,6.953,6.982,6.95,6.969,6.953,6.981,6.949,6.968,0,0.0001973,-0.00014334,-0.00014334,0.0019999999999997797,0.0002870264064293599
1675209900000,2023-02-01T00:05:00Z,6.97,6.97,6.932,6.932,49175.7,341949.8149,6.969,6.969,6.934,6.934,6.968,6.968,6.933,6.933,-0.00014334,0,-0.00008581,0,-0.0009999999999994458,-0.00014423770373567658
1675210200000,2023-02-01T00:10:00Z,6.932,6.968,6.924,6.963,25632.4,178280.9477,6.934,6.965,6.925,6.965,6.933,6.964,6.923,6.964,0,0,0,0,-0.001000000000000334,-0.0001435956346927533
1675210500000,2023-02-01T00:15:00Z,6.963,6.963,6.939,6.94,21004.8,145931.706,6.965,6.965,6.941,6.942,6.964,6.964,6.94,6.941,0,0,0,0,-0.0009999999999994458,-0.00014407145944380433
1675210800000,2023-02-01T00:20:00Z,6.94,6.956,6.938,6.95,1755.7,12193.9901,6.942,6.957,6.939,6.956,6.941,6.957,6.939,6.957,0,0,-0.0002876,-0.0002876,-0.006999999999999673,-0.0010061808250682296
1675211100000,2023-02-01T00:25:00Z,6.95,6.957,6.928,6.93,12698.3,88127.2984,6.956,6.957,6.929,6.931,6.957,6.957,6.928,6.93,-0.0002876,0,0,0,0.0,0.0
1675211400000,2023-02-01T00:30:00Z,6.93,6.95,6.919,6.945,6205.6,43016.9073,6.931,6.95,6.919,6.945,6.93,6.95,6.919,6.944,0,0,-0.00011062,-0.00011062,0.001000000000000334,0.00014400921658990984
1675211700000,2023-02-01T00:35:00Z,6.945,6.959,6.936,6.955,5659.7,39348.6951,6.945,6.957,6.937,6.954,6.944,6.957,6.937,6.953,-0.00011062,0,0,0,0.0019999999999997797,0.00028764562059539474
1675212000000,2023-02-01T00:40:00Z,6.955,6.968,6.949,6.955,16275.5,113340.8337,6.954,6.965,6.947,6.954,6.953,6.964,6.946,6.954,0,0.00049009,0.00043159,0.00043159,0.001000000000000334,0.00014380212827154644
1675212300000,2023-02-01T00:45:00Z,6.955,6.964,6.955,6.96,7404.2,51543.8853,6.954,6.962,6.953,6.96,6.954,6.961,6.952,6.959,0.00043159,0.00048704,0.00005815,0.00005815,0.001000000000000334,0.0001436988072999474
1675212600000,2023-02-01T00:50:00Z,6.96,6.969,6.954,6.955,4870.6,33912.1218,6.96,6.967,6.952,6.954,6.959,6.966,6.951,6.953,0.00005815,0.0002871,0.00023045,0.00023045,0.0019999999999997797,0.00028764562059539474
1675212900000,2023-02-01T00:55:00Z,6.955,6.962,6.947,6.949,3627.7,25217.4016,6.954,6.957,6.946,6.949,6.953,6.956,6.945,6.947,0.00023045,0.00008341,0,0.00008341,0.0019999999999997797,0.0002878940549877328
1675213200000,2023-02-01T01:00:00Z,6.949,6.962,6.944,6.954,12136.9,84368.3419,6.949,6.958,6.944,6.954,6.947,6.956,6.942,6.953,0.00008341,0.00030577,0.0001438,0.0001438,0.0009999999999994458,0.0001438228102976335
1675213500000,2023-02-01T01:05:00Z,6.954,6.961,6.947,6.957,568.4,3952.8943,6.954,6.96,6.947,6.957,6.953,6.958,6.945,6.956,0.0001438,0.00006718,0,0.00006718,0.0009999999999994458,0.0001437607820585747
1675213800000,2023-02-01T01:10:00Z,6.957,6.965,6.949,6.965,12565.7,87430.6421,6.957,6.965,6.949,6.965,6.956,6.963,6.948,6.963,0.00006718,0.00043103,0,0.00043103,0.0019999999999997797,0.0002872325147206347
1675214100000,2023-02-01T01:15:00Z,6.965,6.968,6.949,6.95,10649.5,74142.5695,6.965,6.967,6.949,6.95,6.963,6.966,6.948,6.948,0.00043103,0.00024417,0,0.00024417,0.0019999999999997797,0.00028785261945880533
1675214400000,2023-02-01T01:20:00Z,6.95,6.96,6.946,6.95,5131.8,35672.5918,6.95,6.96,6.946,6.949,6.948,6.958,6.945,6.947,0.00024417,0.00028789,0.00005924,0.00028789,0.0030000000000001137,0.00043184108248166313
1675214700000,2023-02-01T01:25:00Z,6.95,6.95,6.926,6.926,13022.2,90334.7433,6.949,6.95,6.926,6.926,6.947,6.949,6.924,6.924,0.00028789,0.00028876,0,0.00028876,0.0019999999999997797,0.0002888503755054563
1675215000000,2023-02-01T01:30:00Z,6.926,6.939,6.921,6.934,13938.5,96585.784,6.926,6.938,6.92,6.934,6.924,6.936,6.918,6.933,0.00028876,0.00014421,0,0,0.001000000000000334,0.0001442377037358047
1675215300000,2023-02-01T01:35:00Z,6.934,6.956,6.933,6.954,4004.2,27809.2864,6.934,6.953,6.932,6.953,6.933,6.951,6.93,6.951,0,0.00018835,0,0,0.0030000000000001137,0.0004315925766076987
1675215600000,2023-02-01T01:40:00Z,6.954,6.976,6.951,6.974,7745.6,53942.2363,6.953,6.975,6.951,6.974,6.951,6.973,6.948,6.972,0,0.0005506,0.00028735,0.0005506,0.0019999999999997797,0.00028686173264483354
1675215900000,2023-02-01T01:45:00Z,6.974,6.986,6.969,6.981,4233.2,29549.5053,6.974,6.984,6.969,6.98,6.972,6.982,6.967,6.978,0.0005506,0.0004393,0.000186,0.0004393,0.0030000000000001137,0.000429922613929509
