timestamp_ms,datetime_utc,open,high,low,close,volume,turnover,mark_open,mark_high,mark_low,mark_close,index_open,index_high,index_low,index_close,premium_open,premium_high,premium_low,premium_close,basis,basis_pct
1746057600000,2025-05-01T00:00:00Z,3280,3282,3278,3282,29.286,96063.461,3280,3282,3279,3282,3283,3284,3281,3283,-0.00091379,-0.00030459,-0.00030459,-0.00030459,-1.0,-0.0003045994517209869
1746057900000,2025-05-01T00:05:00Z,3282,3282,3279,3281,6.816,22358.816,3282,3282,3280,3281,3283,3284,3281,3283,-0.00030459,-0.00091379,-0.00091379,-0.00091379,-2.0,-0.0006091989034419738
1746058200000,2025-05-01T00:10:00Z,3281,3283,3281,3283,2.583,8475.682,3281,3283,3281,3283,3283,3286,3283,3285,-0.00091379,-0.00060882,-0.00091296,-0.00060882,-2.0,-0.0006088280060882801
1746058500000,2025-05-01T00:15:00Z,3283,3285,3278,3278,9.703,31839.276,3283,3285,3279,3279,3285,3286,3281,3281,-0.00060882,-0.00030469,-0.00060919,-0.00030469,-3.0,-0.0009143553794574825
1746058800000,2025-05-01T00:20:00Z,3278,3278,3266,3272,45.18,147762.123,3279,3279,3268,3272,3281,3281,3270,3273,-0.00030469,-0.00030525,-0.00030525,-0.00030525,-1.0,-0.00030553009471432935
1746059100000,2025-05-01T00:25:00Z,3272,3272,3267,3268,21.427,70025.094,3272,3272,3267,3268,3273,3274,3269,3270,-0.00030525,-0.00030571,-0.00091743,-0.00091743,-2.0,-0.0006116207951070336
1746059400000,2025-05-01T00:30:00Z,3268,3269,3261,3261,27.054,88334.53,3268,3270,3261,3261,3270,3272,3264,3264,-0.00091743,-0.00091855,-0.00091855,-0.00091855,-3.0,-0.0009191176470588235
1746059700000,2025-05-01T00:35:00Z,3261,3263,3257,3261,39.378,128340.693,3261,3263,3257,3261,3264,3265,3259,3263,-0.00091855,-0.00030646,-0.00061293,-0.00061293,-2.0,-0.0006129328838492185
1746060000000,2025-05-01T00:40:00Z,3261,3262,3258,3260,14.552,47438.201,3261,3263,3258,3260,3263,3265,3261,3261,-0.00061293,-0.0006133,-0.00091968,-0.0006133,-1.0,-0.00030665440049064706
1746060300000,2025-05-01T00:45:00Z,3260,3260,3258,3259,2.256,7352.313,3260,3260,3259,3259,3261,3262,3260,3260,-0.0006133,-0.0006133,-0.0006133,-0.0006133,-1.0,-0.00030674846625766873
1746060600000,2025-05-01T00:50:00Z,3259,3263,3256,3258,25.9,84442.792,3259,3263,3257,3258,3260,3265,3259,3260,-0.0006133,-0.00061255,-0.00091939,-0.00091939,-2.0,-0.0006134969325153375
1746060900000,2025-05-01T00:55:00Z,3258,3259,3256,3259,9.273,30207.342,3258,3259,3257,3259,3260,3260,3259,3259,-0.00091939,-0.00030674,-0.00030684,-0.00030674,0.0,0.0
1746061200000,2025-05-01T01:00:00Z,3259,3261,3256,3261,42.099,137210.581,3259,3262,3256,3261,3259,3264,3257,3263,-0.00030674,-0.00030684,-0.00091911,-0.00091911,-2.0,-0.0006129328838492185
1746061500000,2025-05-01T01:05:00Z,3261,3261,3252,3258,68.168,221930.142,3261,3261,3254,3258,3263,3263,3257,3261,-0.00091911,-0.00073312,-0.00092081,-0.00073312,-3.0,-0.0009199632014719411
1746061800000,2025-05-01T01:10:00Z,3258,3259,3253,3258,14.275,46485.61,3258,3259,3253,3258,3261,3261,3256,3260,-0.00073312,-0.00017419,-0.00030712,-0.00017419,-2.0,-0.0006134969325153375
