timestamp_ms,datetime_utc,open,high,low,close,volume,turnover
1640995200000,2022-01-01T00:00:00Z,169.96,170.64,169.96,170.44,113.549,19349.0036
1640995500000,2022-01-01T00:05:00Z,170.44,170.8,170.44,170.71,2.062,351.79234
1640995800000,2022-01-01T00:10:00Z,170.71,170.8,170.19,170.8,208.493,35588.49439
1640996100000,2022-01-01T00:15:00Z,170.8,171.26,170.8,171.07,18.34,3133.243
1640996400000,2022-01-01T00:20:00Z,171.07,171.29,171,171.29,8.892,1522.6822
1640996700000,2022-01-01T00:25:00Z,171.29,171.43,171.12,171.12,35.911,6155.65539
1640997000000,2022-01-01T00:30:00Z,171.12,171.43,171.05,171.43,0.428,73.2677
1640997300000,2022-01-01T00:35:00Z,171.43,171.71,171.42,171.57,3.848,659.94745
1640997600000,2022-01-01T00:40:00Z,171.57,171.84,171.57,171.84,0.688,118.15593
1640997900000,2022-01-01T00:45:00Z,171.84,172.28,171.64,172.28,12.515,2155.22128
1640998200000,2022-01-01T00:50:00Z,172.28,172.37,172.28,172.3,3.965,683.23105
1640998500000,2022-01-01T00:55:00Z,172.3,172.62,172.3,172.55,0.394,67.9904
1640998800000,2022-01-01T01:00:00Z,172.55,172.55,171.9,171.9,0.682,117.46742
1640999100000,2022-01-01T01:05:00Z,171.9,172.57,171.79,172.57,3.2,551.42652
1640999400000,2022-01-01T01:10:00Z,172.57,172.88,172.55,172.88,9.268,1601.58107
1640999700000,2022-01-01T01:15:00Z,172.88,173.48,172.83,173.46,13.702,2373.88279
1641000000000,2022-01-01T01:20:00Z,173.46,174.21,173.46,173.86,419.361,72980.61164
1641000300000,2022-01-01T01:25:00Z,173.86,173.95,173.63,173.63,3.496,607.73895
1641000600000,2022-01-01T01:30:00Z,173.63,174.22,173.63,173.98,150.756,26229.3454
1641000900000,2022-01-01T01:35:00Z,173.98,174.13,173.97,174.13,186.594,32475.50607
