timestamp_ms,datetime_utc,open,high,low,close,volume,turnover,mark_open,mark_high,mark_low,mark_close,index_open,index_high,index_low,index_close,premium_open,premium_high,premium_low,premium_close,basis,basis_pct
1669852800000,2022-12-01T00:00:00Z,5.854,5.881,5.854,5.861,8659.3,50741.5855,5.855,5.878,5.855,5.864,5.857,5.879,5.854,5.865,-0.00017061,-0.00003749,-0.00042266,-0.00003749,-0.004000000000000448,-0.0006820119352089425
1669853100000,2022-12-01T00:05:00Z,5.861,5.861,5.839,5.86,4997.1,29264.7165,5.864,5.864,5.84,5.86,5.865,5.865,5.839,5.86,-0.00003749,0,0,0,0.0,0.0
1669853400000,2022-12-01T00:10:00Z,5.86,5.871,5.858,5.864,8470,49706.2577,5.86,5.871,5.856,5.862,5.86,5.87,5.855,5.861,0,0.00085251,0.00068317,0.00068317,0.0030000000000001137,0.0005118580447022887
1669853700000,2022-12-01T00:15:00Z,5.864,5.871,5.838,5.839,2640,15447.9522,5.862,5.867,5.834,5.835,5.861,5.866,5.833,5.834,0.00068317,0.00068317,-0.00066493,-0.00066493,0.005000000000000782,0.0008570449091533736
1669854000000,2022-12-01T00:20:00Z,5.839,5.855,5.836,5.838,1450.6,8474.5717,5.835,5.853,5.834,5.839,5.834,5.852,5.833,5.838,-0.00066493,0.00059647,0,0,0.0,0.0
1669854300000,2022-12-01T00:25:00Z,5.838,5.84,5.815,5.822,3359.6,19567.0191,5.839,5.839,5.815,5.815,5.838,5.839,5.814,5.814,0,0,0,0,0.008000000000000007,0.0013759889920880646
1669854600000,2022-12-01T00:30:00Z,5.822,5.831,5.814,5.815,1393.1,8107.5333,5.815,5.829,5.813,5.814,5.814,5.829,5.812,5.813,0,0,-0.00048066,-0.00048066,0.002000000000000668,0.0003440564252538565
1669854900000,2022-12-01T00:35:00Z,5.815,5.821,5.808,5.821,1535.4,8927.7787,5.814,5.821,5.81,5.82,5.813,5.819,5.809,5.817,-0.00048066,0.00154852,0.00038349,0.00038349,0.0039999999999995595,0.0006876396768092761
1669855200000,2022-12-01T00:40:00Z,5.821,5.822,5.803,5.803,1284.3,7463.3936,5.82,5.82,5.803,5.807,5.817,5.819,5.801,5.806,0.00038349,-0.0001722,-0.00044806,-0.0001722,-0.0030000000000001137,-0.000516706854977629
1669855500000,2022-12-01T00:45:00Z,5.803,5.844,5.803,5.829,2667.9,15555.6788,5.807,5.842,5.806,5.83,5.806,5.84,5.805,5.828,-0.0001722,0.0003001,0,0.0003001,0.0009999999999994458,0.00017158544955378271
