timestamp_ms,datetime_utc,open,high,low,close,volume,turnover,mark_open,mark_high,mark_low,mark_close,index_open,index_high,index_low,index_close,premium_open,premium_high,premium_low,premium_close,basis,basis_pct
1706745600000,2024-02-01T00:00:00Z,0.2528,0.2543,0.2523,0.2533,402340,101965.6545,0.2528,0.2541,0.2523,0.2532,0.2522,0.2532,0.2516,0.2522,0.00144289,0.00316745,0.00224962,0.00224962,0.0011000000000000454,0.0043616177636798
1706745900000,2024-02-01T00:05:00Z,0.2533,0.2536,0.2526,0.2536,286765,72605.4328,0.2532,0.2534,0.2523,0.2531,0.2522,0.2525,0.2514,0.2524,0.00224962,0.00224986,0.00205669,0.00205669,0.0011999999999999789,0.0047543581616480935
1706746200000,2024-02-01T00:10:00Z,0.2536,0.2537,0.2523,0.2526,290329,73432.874,0.2531,0.2532,0.2524,0.2525,0.2524,0.2526,0.2517,0.2518,0.00205669,0.00275305,0.00115929,0.00275305,0.0007999999999999674,0.0031771247021444293
1706746500000,2024-02-01T00:15:00Z,0.2526,0.2541,0.2526,0.2538,145081,36754.4271,0.2525,0.2538,0.2524,0.2535,0.2518,0.2529,0.2518,0.2526,0.00275305,0.00337496,0.00284559,0.00284559,0.0012000000000000344,0.004750593824228165
1706746800000,2024-02-01T00:20:00Z,0.2538,0.2539,0.2513,0.2515,197356,49843.885,0.2535,0.2535,0.2511,0.2511,0.2526,0.2528,0.2505,0.2505,0.00284559,0.00174886,0.00152792,0.00174886,0.0010000000000000009,0.003992015968063875
1706747100000,2024-02-01T00:25:00Z,0.2515,0.2525,0.2509,0.2519,215330,54178.9742,0.2511,0.2522,0.2507,0.2519,0.2505,0.2514,0.25,0.2512,0.00174886,0.00264136,0.00205624,0.00264136,0.0007000000000000339,0.002786624203821791
1706747400000,2024-02-01T00:30:00Z,0.2519,0.252,0.2462,0.2478,2366409,588498.578,0.2519,0.252,0.2478,0.2479,0.2512,0.2512,0.2473,0.2476,0.00264136,0,0,0,0.00020000000000000573,0.0008077544426494577
1706747700000,2024-02-01T00:35:00Z,0.2478,0.2495,0.2477,0.2485,450714,112189.975,0.2479,0.2494,0.2478,0.2485,0.2476,0.2489,0.2476,0.2481,0,0.00236219,0.00108767,0.00236219,0.00040000000000001146,0.0016122531237404735
1706748000000,2024-02-01T00:40:00Z,0.2485,0.2491,0.2467,0.2483,420539,104286.3401,0.2485,0.2488,0.2468,0.2484,0.2481,0.2481,0.2461,0.2475,0.00236219,0.00220617,0.00199294,0.00220617,0.0007999999999999952,0.003232323232323213
1706748300000,2024-02-01T00:45:00Z,0.2483,0.2498,0.2482,0.2489,227773,56759.1426,0.2484,0.2497,0.2482,0.2489,0.2475,0.2488,0.2474,0.2479,0.00220617,0.00226409,0.00211596,0.00211596,0.0010000000000000009,0.00403388463089956
1706748600000,2024-02-01T00:50:00Z,0.2489,0.2499,0.248,0.2495,427817,106484.0907,0.2489,0.2498,0.2481,0.2494,0.2479,0.2489,0.2477,0.2486,0.00211596,0.00082572,0,0,0.0009000000000000119,0.0036202735317780047
1706748900000,2024-02-01T00:55:00Z,0.2495,0.2501,0.2478,0.2484,965089,240157.5228,0.2494,0.2498,0.2479,0.2479,0.2486,0.2494,0.2473,0.2473,0,0.00256393,0.00108567,0.00256393,0.0011000000000000176,0.004448038819247949
1706749200000,2024-02-01T01:00:00Z,0.2484,0.2498,0.2471,0.2473,618515,153599.9724,0.2479,0.2496,0.247,0.2473,0.2473,0.2487,0.2461,0.2463,0.00256393,0.00307823,0.00264375,0.00264375,0.0010000000000000009,0.004060089321965087
1706749500000,2024-02-01T01:05:00Z,0.2473,0.2477,0.2443,0.2472,938453,230817.9888,0.2473,0.2476,0.245,0.247,0.2463,0.2466,0.2441,0.2462,0.00264375,0.0017246,0,0.0017246,0.0010000000000000009,0.004061738424045495
1706749800000,2024-02-01T01:10:00Z,0.2472,0.2473,0.238,0.2394,2755855,664596.5282,0.247,0.247,0.2383,0.2394,0.2462,0.2463,0.2372,0.2391,0.0017246,0.00293782,0.0005633,0.0005633,0.0002999999999999947,0.0012547051442910694
1706750100000,2024-02-01T01:15:00Z,0.2394,0.2402,0.2345,0.2352,2246145,532489.575,0.2394,0.2401,0.2348,0.2351,0.2391,0.2395,0.2344,0.2347,0.0005633,0.00179315,0,0.00179315,0.0005000000000000004,0.002130379207498937
1706750400000,2024-02-01T01:20:00Z,0.2352,0.2358,0.2289,0.2347,3271711,759580.0626,0.2351,0.2354,0.2294,0.2342,0.2347,0.235,0.2288,0.2335,0.00179315,0.00100192,0.00003887,0.00100192,0.0011999999999999789,0.0051391862955031216
1706750700000,2024-02-01T01:25:00Z,0.2347,0.2363,0.2339,0.2358,705368,165986.1794,0.2342,0.2362,0.234,0.2358,0.2335,0.2355,0.2335,0.235,0.00100192,0.00334801,0.0021513,0.00334801,0.0008000000000000229,0.0034042553191490337
1706751000000,2024-02-01T01:30:00Z,0.2358,0.2372,0.233,0.2346,955296,224517.9408,0.2358,0.2368,0.2332,0.2346,0.235,0.2362,0.2324,0.234,0.00334801,0.00257494,0.00136005,0.00257494,0.0005999999999999894,0.002564102564102519
1706751300000,2024-02-01T01:35:00Z,0.2346,0.2351,0.2327,0.2337,343734,80350.9362,0.2346,0.235,0.2326,0.2337,0.234,0.2347,0.2319,0.2332,0.00257494,0.00238227,0.00165777,0.00165777,0.0005000000000000004,0.00214408233276158
1706751600000,2024-02-01T01:40:00Z,0.2337,0.2347,0.2304,0.233,1422933,331303.833,0.2337,0.2342,0.2308,0.233,0.2332,0.2334,0.23,0.232,0.00165777,0.00236513,0.00172344,0.00236513,0.0010000000000000009,0.00431034482758621
1706751900000,2024-02-01T01:45:00Z,0.233,0.2344,0.2317,0.2322,402571,94021.7678,0.233,0.2343,0.2318,0.2319,0.232,0.2333,0.2307,0.2309,0.00236513,0.00356957,0.00235837,0.00356957,0.0012999999999999956,0.005630142919012541
1706752200000,2024-02-01T01:50:00Z,0.2322,0.2322,0.2277,0.228,937046,215064.7967,0.2319,0.2322,0.2278,0.228,0.2309,0.2312,0.2266,0.2272,0.00356957,0.00247461,0.00206087,0.00206087,0.0007999999999999952,0.0035211267605633587
1706752500000,2024-02-01T01:55:00Z,0.228,0.2317,0.2279,0.2299,1082700,249420.5343,0.228,0.2311,0.2279,0.2299,0.2272,0.2302,0.2271,0.2287,0.00206087,0.00457783,0.00443326,0.00457783,0.0012000000000000066,0.00524704853519898
1706752800000,2024-02-01T02:00:00Z,0.2299,0.2315,0.2281,0.2295,790332,181628.6557,0.2299,0.2313,0.2289,0.2295,0.2287,0.2304,0.2275,0.2284,0.00457783,0.00452918,0.00347183,0.00452918,0.0011000000000000176,0.0048161120840631245
1706753100000,2024-02-01T02:05:00Z,0.2295,0.232,0.2289,0.2309,468378,108105.4363,0.2295,0.232,0.2289,0.2309,0.2284,0.2309,0.2279,0.2299,0.00452918,0.00454088,0.00435167,0.00435167,0.0010000000000000009,0.004349717268377559
1706753400000,2024-02-01T02:10:00Z,0.2309,0.2317,0.2283,0.2312,1362370,313487.1303,0.2309,0.2317,0.229,0.2312,0.2299,0.2309,0.2285,0.2309,0.00435167,0.00122046,0.00030559,0.00122046,0.0002999999999999947,0.0012992637505413371
1706753700000,2024-02-01T02:15:00Z,0.2312,0.2312,0.2262,0.2282,2427187,554554.8965,0.2312,0.2312,0.2276,0.2284,0.2309,0.2309,0.227,0.2283,0.00122046,0.00024133,0.00012702,0.00012702,-0.00010000000000001674,-0.00043802014892692397
1706754000000,2024-02-01T02:20:00Z,0.2282,0.2286,0.2204,0.2214,3837241,862694.0399,0.2284,0.2285,0.221,0.2214,0.2283,0.2283,0.2206,0.2212,0.00012702,0.0024353,0.00045608,0.00045608,0.00020000000000000573,0.0009041591320072592
1706754300000,2024-02-01T02:25:00Z,0.2214,0.2236,0.2203,0.2233,1537729,341591.2777,0.2214,0.223,0.2204,0.2229,0.2212,0.2228,0.2202,0.2225,0.00045608,0.00331206,0.0019203,0.0019203,0.0007999999999999952,0.003595505617977506
1706754600000,2024-02-01T02:30:00Z,0.2233,0.2253,0.2233,0.2244,935282,209838.084,0.2229,0.225,0.2229,0.2241,0.2225,0.2245,0.2225,0.2233,0.0019203,0.00417666,0.00281929,0.00417666,0.0010999999999999899,0.004926108374384191
1706754900000,2024-02-01T02:35:00Z,0.2244,0.2244,0.2205,0.2225,1507475,334905.2746,0.2241,0.2242,0.2206,0.2219,0.2233,0.2238,0.2198,0.2212,0.00417666,0.00236889,0.00077201,0.00236889,0.0012999999999999956,0.005877034358046996
1706755200000,2024-02-01T02:40:00Z,0.2225,0.2225,0.2109,0.2159,5050474,1088467.2842,0.2219,0.2222,0.2113,0.2163,0.2212,0.2213,0.2107,0.2154,0.00236889,0.00411914,0,0.00411914,0.0005000000000000004,0.00232126276694522
1706755500000,2024-02-01T02:45:00Z,0.2159,0.2192,0.215,0.2187,3382240,732823.3054,0.2163,0.219,0.215,0.2188,0.2154,0.2182,0.2145,0.218,0.00411914,0.00088111,0.00028131,0.00088111,0.0007000000000000062,0.003211009174311955
1706755800000,2024-02-01T02:50:00Z,0.2187,0.2195,0.2177,0.2193,821761,179906.2613,0.2188,0.2195,0.2177,0.2193,0.218,0.2192,0.2168,0.2182,0.00088111,0.00541666,0.00191197,0.00191197,0.0010999999999999899,0.005041246562786388
1706756100000,2024-02-01T02:55:00Z,0.2193,0.2225,0.2181,0.2208,1156568,254918.3851,0.2193,0.2224,0.2182,0.2208,0.2182,0.2216,0.2176,0.2202,0.00191197,0.00381625,0.00157474,0.00381625,0.0005999999999999894,0.0027247956403269272
