timestamp_ms,datetime_utc,open,high,low,close,volume,turnover
1775001600000,2026-04-01T00:00:00Z,0.1791,0.1792,0.1785,0.179,36862.8,6597.16851
1775001900000,2026-04-01T00:05:00Z,0.179,0.179,0.1786,0.1786,16192.73,2895.363172
1775002200000,2026-04-01T00:10:00Z,0.1786,0.179,0.1786,0.1789,4412.93,788.89239
1775002500000,2026-04-01T00:15:00Z,0.1789,0.179,0.1788,0.1788,6771.08,1211.337866
1775002800000,2026-04-01T00:20:00Z,0.1788,0.1788,0.1786,0.1787,4250.3,759.517278
1775003100000,2026-04-01T00:25:00Z,0.1787,0.1789,0.1787,0.1789,4817.43,861.838227
1775003400000,2026-04-01T00:30:00Z,0.1789,0.1793,0.1784,0.1785,27717.59,4955.181581
1775003700000,2026-04-01T00:35:00Z,0.1785,0.1787,0.1784,0.1786,13409.68,2394.006661
1775004000000,2026-04-01T00:40:00Z,0.1786,0.1789,0.1786,0.1789,8076.56,1443.113352
1775004300000,2026-04-01T00:45:00Z,0.1789,0.1791,0.1788,0.1791,12322.84,2205.516269
1775004600000,2026-04-01T00:50:00Z,0.1791,0.18,0.1791,0.18,31963.14,5744.501935
1775004900000,2026-04-01T00:55:00Z,0.18,0.1801,0.1797,0.1799,15679.07,2820.497996
1775005200000,2026-04-01T01:00:00Z,0.1799,0.1803,0.1798,0.1801,46642.77,8397.323775
1775005500000,2026-04-01T01:05:00Z,0.1801,0.1803,0.1798,0.1803,20411.49,3676.858838
1775005800000,2026-04-01T01:10:00Z,0.1803,0.1803,0.1796,0.1796,20210.37,3634.473606
1775006100000,2026-04-01T01:15:00Z,0.1796,0.1796,0.1795,0.1795,23864.13,4283.883128
1775006400000,2026-04-01T01:20:00Z,0.1795,0.1795,0.1793,0.1794,12733.17,2284.06743
1775006700000,2026-04-01T01:25:00Z,0.1794,0.1794,0.179,0.179,20762.73,3718.252628
1775007000000,2026-04-01T01:30:00Z,0.179,0.1792,0.1787,0.1787,22176.59,3969.986466
1775007300000,2026-04-01T01:35:00Z,0.1787,0.1791,0.1784,0.1789,30280.52,5413.468115
1775007600000,2026-04-01T01:40:00Z,0.1789,0.1793,0.1789,0.1793,7902.4,1415.254579
1775007900000,2026-04-01T01:45:00Z,0.1793,0.1793,0.1789,0.179,26611.99,4765.733976
1775008200000,2026-04-01T01:50:00Z,0.179,0.1792,0.179,0.1792,5751.27,1029.987564
1775008500000,2026-04-01T01:55:00Z,0.1792,0.1793,0.179,0.179,4612.22,826.533915
1775008800000,2026-04-01T02:00:00Z,0.179,0.1794,0.179,0.1794,3091.22,554.329516
1775009100000,2026-04-01T02:05:00Z,0.1794,0.1794,0.1793,0.1793,921.58,165.239294
1775009400000,2026-04-01T02:10:00Z,0.1793,0.1793,0.1788,0.179,6697.61,1198.701234
1775009700000,2026-04-01T02:15:00Z,0.179,0.179,0.1787,0.1788,5141.65,919.024481
1775010000000,2026-04-01T02:20:00Z,0.1788,0.1788,0.1785,0.1786,6132.55,1095.27619
1775010300000,2026-04-01T02:25:00Z,0.1786,0.1786,0.1776,0.1777,14166.12,2518.614805
1775010600000,2026-04-01T02:30:00Z,0.1777,0.1779,0.1775,0.1779,5815.23,1032.885063
1775010900000,2026-04-01T02:35:00Z,0.1779,0.1782,0.1779,0.1781,42644.15,7595.182003
1775011200000,2026-04-01T02:40:00Z,0.1781,0.1784,0.1781,0.1784,77354.17,13776.901026
1775011500000,2026-04-01T02:45:00Z,0.1784,0.1788,0.1784,0.1787,13147.78,2349.838786
1775011800000,2026-04-01T02:50:00Z,0.1787,0.1787,0.1785,0.1785,10291.33,1837.557542
1775012100000,2026-04-01T02:55:00Z,0.1785,0.1785,0.1783,0.1783,4021.71,717.483735
1775012400000,2026-04-01T03:00:00Z,0.1783,0.1788,0.1783,0.1788,3823.5,683.451078
1775012700000,2026-04-01T03:05:00Z,0.1788,0.1807,0.1788,0.1804,61549.86,11077.740286
1775013000000,2026-04-01T03:10:00Z,0.1804,0.1804,0.1798,0.1799,24447.89,4400.458493
